 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.5421E-16  0.5129E-02  0.9991E-02  0.2625E-06 -0.2335E-01  0.2082E+00  0.3786E+00  0.6569E-02  0.8610E+00  0.2623E+00  0.5360E+05  0.5360E+05  0.5360E+05 -0.5454E-03  0.1474E-01  0.2472E-09  0.5334E-01 -0.5487E-09  0.1473E-01 -0.6737E-02 -0.1662E-02 -0.6337E-02 -0.1776E-02 -0.8780E-02  0.1148E-01
     2  0.2300E+01  0.8132E-16  0.5084E-02  0.1027E-01  0.2674E-06 -0.1937E-01  0.2053E+00  0.4050E+00  0.8957E-01  0.6040E+00  0.1352E+00  0.5332E+05  0.5332E+05  0.5332E+05 -0.7873E-03  0.1725E-01  0.2167E-09  0.6421E-01  0.3611E-08  0.1723E-01 -0.8531E-02 -0.1188E-03 -0.4228E-01 -0.8564E-02  0.4338E-01  0.1713E-01
     3  0.4600E+01  0.8132E-16  0.5032E-02  0.1080E-01  0.2936E-06 -0.1363E-01  0.2047E+00  0.3990E+00  0.1988E+00  0.7141E+00 -0.2834E+00  0.5321E+05  0.5321E+05  0.5321E+05 -0.6468E-03  0.1681E-01  0.2529E-09  0.1356E+00  0.6457E-08  0.1670E-01 -0.3723E-02 -0.3188E-02 -0.5157E-01  0.1999E-01  0.7602E-01  0.1196E-01
     4  0.6900E+01 -0.1084E-15  0.4826E-02  0.1071E-01  0.2728E-06 -0.2778E-01  0.2057E+00  0.4072E+00  0.2372E+00  0.1137E+01 -0.3754E+00  0.5277E+05  0.5277E+05  0.5277E+05 -0.6581E-03  0.1409E-01  0.3102E-09  0.2848E+00  0.7001E-08  0.1359E-01 -0.6729E-02 -0.9665E-03 -0.9285E-01  0.1662E-01  0.9898E-01  0.2310E-01
     5  0.9200E+01  0.5421E-16  0.4624E-02  0.1045E-01  0.2465E-06 -0.2226E-01  0.2069E+00  0.3913E+00  0.2485E+00  0.1268E+01 -0.8820E-01  0.5178E+05  0.5178E+05  0.5178E+05 -0.7358E-03  0.1297E-01  0.3159E-09  0.4006E+00  0.5704E-08  0.1200E-01 -0.7459E-02 -0.8553E-03 -0.2791E-02 -0.2239E-01  0.1250E+00  0.3036E-01
     6  0.1150E+02 -0.8132E-16  0.4490E-02  0.1056E-01  0.2258E-06 -0.2360E-01  0.2090E+00  0.3977E+00  0.2351E+00  0.1043E+01  0.1689E+00  0.5085E+05  0.5085E+05  0.5085E+05 -0.7214E-03  0.1456E-01  0.2813E-09  0.4426E+00  0.2928E-08  0.1353E-01 -0.7999E-02 -0.2642E-02 -0.7501E-01  0.2066E-01  0.1126E+00  0.2956E-01
     7  0.1380E+02  0.8132E-16  0.4340E-02  0.1015E-01  0.1989E-06 -0.2210E-01  0.2118E+00  0.4249E+00  0.2903E+00  0.8112E+00  0.1173E+00  0.4998E+05  0.4998E+05  0.4998E+05 -0.4518E-03  0.1587E-01  0.2395E-09  0.4135E+00  0.1525E-08  0.1507E-01 -0.7631E-02 -0.8069E-03 -0.3836E-01 -0.4713E-02  0.7627E-01  0.2083E-01
     8  0.1610E+02  0.0000E+00  0.4271E-02  0.9812E-02  0.1851E-06 -0.2611E-01  0.2144E+00  0.4294E+00  0.3406E+00  0.7810E+00 -0.6338E-01  0.4957E+05  0.4957E+05  0.4957E+05 -0.8108E-03  0.1582E-01  0.2289E-09  0.3657E+00  0.1027E-08  0.1516E-01 -0.8822E-02 -0.2233E-02 -0.6017E-01 -0.4718E-02  0.9042E-01  0.2818E-01
     9  0.1840E+02 -0.1084E-15  0.4218E-02  0.9710E-02  0.1789E-06 -0.1917E-01  0.2152E+00  0.4167E+00  0.3273E+00  0.8931E+00 -0.1171E+00  0.4933E+05  0.4933E+05  0.4933E+05 -0.3675E-03  0.1486E-01  0.2429E-09  0.3379E+00  0.1066E-08  0.1421E-01 -0.8702E-02 -0.9674E-03 -0.5187E-01  0.1965E-01  0.1009E+00  0.3063E-01
    10  0.2070E+02 -0.8132E-16  0.4166E-02  0.9289E-02  0.1692E-06 -0.2329E-01  0.2139E+00  0.4028E+00  0.2880E+00  0.9438E+00  0.1601E-01  0.4906E+05  0.4906E+05  0.4906E+05 -0.7500E-03  0.1414E-01  0.2456E-09  0.3525E+00  0.1417E-08  0.1337E-01 -0.7824E-02 -0.2370E-02 -0.4197E-01 -0.1338E-01  0.1060E+00  0.2999E-01
