 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.2096E-02  0.5963E-02  0.2665E-07 -0.4434E-01  0.2031E+00  0.3209E+00  0.1808E+00  0.7511E+00  0.6053E-02  0.4075E+05  0.4075E+05  0.4075E+05 -0.6914E-03  0.1198E-01  0.1817E-09  0.3875E+00  0.1151E-08  0.1158E-01 -0.6163E-02 -0.8352E-02 -0.5933E-01 -0.1909E-02  0.6407E-01  0.4431E-01
     2  0.1400E+01  0.0000E+00  0.2070E-02  0.5966E-02  0.2607E-07 -0.4392E-01  0.2033E+00  0.2511E+00  0.4494E+00  0.7485E+00 -0.1604E-01  0.4054E+05  0.4054E+05  0.4054E+05 -0.4578E-03  0.1195E-01  0.1825E-09  0.3643E+00  0.2944E-08  0.1161E-01 -0.7865E-02 -0.7290E-02 -0.3975E-01  0.4359E-02  0.7789E-01  0.4757E-01
     3  0.2800E+01  0.0000E+00  0.2070E-02  0.5836E-02  0.2618E-07 -0.5208E-01  0.2042E+00  0.1925E+00  0.2892E+00  0.7747E+00 -0.2937E-01  0.4032E+05  0.4032E+05  0.4032E+05 -0.1045E-02  0.1177E-01  0.1847E-09  0.4175E+00  0.4370E-08  0.1133E-01 -0.7524E-02 -0.8379E-02 -0.3312E-01 -0.7350E-02  0.6669E-01  0.5257E-01
     4  0.4200E+01  0.0000E+00  0.2100E-02  0.5780E-02  0.2711E-07 -0.5089E-01  0.2057E+00  0.1962E+00  0.1636E+00  0.8117E+00 -0.2789E-01  0.4014E+05  0.4014E+05  0.4014E+05 -0.5418E-03  0.1171E-01  0.1886E-09  0.4886E+00  0.5250E-08  0.1107E-01 -0.7612E-02 -0.7795E-02 -0.4972E-01  0.1152E-01  0.4110E-01  0.4909E-01
     5  0.5600E+01  0.0000E+00  0.2078E-02  0.5726E-02  0.2677E-07 -0.5991E-01  0.2073E+00  0.2071E+00  0.1593E+00  0.8318E+00  0.6930E-03  0.3994E+05  0.3994E+05  0.3994E+05 -0.9876E-03  0.1179E-01  0.1887E-09  0.5729E+00  0.5194E-08  0.1094E-01 -0.8405E-02 -0.7853E-02 -0.3924E-01 -0.9363E-02  0.4680E-01  0.5465E-01
     6  0.7000E+01  0.0000E+00  0.2035E-02  0.5671E-02  0.2559E-07 -0.5579E-01  0.2087E+00  0.2120E+00  0.1864E+00  0.8177E+00  0.4372E-01  0.3973E+05  0.3973E+05  0.3973E+05 -0.7453E-03  0.1206E-01  0.1843E-09  0.6443E+00  0.4522E-08  0.1104E-01 -0.8309E-02 -0.8090E-02 -0.4195E-01  0.3998E-02  0.4950E-01  0.5393E-01
     7  0.8400E+01  0.0000E+00  0.2001E-02  0.5615E-02  0.2449E-07 -0.6349E-01  0.2097E+00  0.2124E+00  0.2186E+00  0.7894E+00  0.6345E-01  0.3954E+05  0.3954E+05  0.3954E+05 -0.9046E-03  0.1237E-01  0.1786E-09  0.7023E+00  0.3701E-08  0.1123E-01 -0.8826E-02 -0.7858E-02 -0.4387E-01 -0.6625E-03  0.5881E-01  0.5406E-01
     8  0.9800E+01  0.0000E+00  0.1962E-02  0.5550E-02  0.2335E-07 -0.6342E-01  0.2102E+00  0.2106E+00  0.2339E+00  0.7557E+00  0.6431E-01  0.3938E+05  0.3938E+05  0.3938E+05 -0.8822E-03  0.1265E-01  0.1728E-09  0.7463E+00  0.2992E-08  0.1143E-01 -0.8623E-02 -0.8103E-02 -0.4106E-01 -0.4907E-03  0.5964E-01  0.5215E-01
     9  0.1120E+02  0.0000E+00  0.1938E-02  0.5464E-02  0.2251E-07 -0.6726E-01  0.2099E+00  0.2069E+00  0.2368E+00  0.7345E+00  0.6492E-01  0.3923E+05  0.3923E+05  0.3923E+05 -0.8960E-03  0.1277E-01  0.1685E-09  0.7701E+00  0.2074E-08  0.1150E-01 -0.8788E-02 -0.7823E-02 -0.3820E-01  0.8167E-04  0.5914E-01  0.5058E-01
    10  0.1260E+02  0.0000E+00  0.1925E-02  0.5370E-02  0.2167E-07 -0.6899E-01  0.2091E+00  0.2041E+00  0.2155E+00  0.7116E+00  0.5502E-01  0.3909E+05  0.3909E+05  0.3909E+05 -0.1025E-02  0.1282E-01  0.1646E-09  0.7746E+00  0.1520E-08  0.1154E-01 -0.8467E-02 -0.8098E-02 -0.4616E-01  0.9665E-03  0.5967E-01  0.4954E-01
