 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.2990E+02  0.7538E-03  0.3876E-02  0.8941E-02  0.1418E-06 -0.4706E-01  0.2019E+00  0.3601E+00  0.2220E+00  0.9533E+00 -0.1127E+00  0.4808E+05  0.4808E+05  0.4808E+05 -0.1560E-02  0.1339E-01  0.2525E-09  0.3396E+00  0.1708E-08  0.1261E-01 -0.8982E-02 -0.9909E-02 -0.4675E-01 -0.2166E-01  0.9213E-01  0.6137E-01
    15  0.3220E+02  0.7749E-03  0.3732E-02  0.8993E-02  0.1316E-06 -0.4070E-01  0.2024E+00  0.3560E+00  0.1719E+00  0.9451E+00  0.8239E-01  0.4782E+05  0.4782E+05  0.4782E+05 -0.1086E-02  0.1345E-01  0.2513E-09  0.3432E+00  0.1426E-08  0.1269E-01 -0.9218E-02 -0.1015E-01 -0.5478E-01  0.1530E-01  0.8165E-01  0.6249E-01
    16  0.3450E+02  0.7649E-03  0.3600E-02  0.9114E-02  0.1208E-06 -0.4210E-01  0.2047E+00  0.3725E+00  0.1560E+00  0.8186E+00  0.7723E-01  0.4754E+05  0.4754E+05  0.4754E+05 -0.1222E-02  0.1436E-01  0.2334E-09  0.3086E+00  0.1224E-08  0.1383E-01 -0.1083E-01 -0.1085E-01 -0.5584E-01  0.2894E-02  0.6085E-01  0.6710E-01
    17  0.3680E+02  0.7510E-03  0.3461E-02  0.9037E-02  0.1102E-06 -0.4390E-01  0.2078E+00  0.3900E+00  0.1886E+00  0.8042E+00 -0.6363E-01  0.4726E+05  0.4726E+05  0.4726E+05 -0.1137E-02  0.1439E-01  0.2281E-09  0.2684E+00  0.1383E-08  0.1403E-01 -0.9905E-02 -0.9952E-02 -0.5933E-01  0.1313E-01  0.5520E-01  0.5729E-01
    18  0.3910E+02  0.7921E-03  0.3359E-02  0.9157E-02  0.1051E-06 -0.4114E-01  0.2099E+00  0.3941E+00  0.1993E+00  0.9108E+00 -0.1219E+00  0.4704E+05  0.4704E+05  0.4704E+05 -0.8970E-03  0.1376E-01  0.2432E-09  0.2562E+00  0.2174E-08  0.1344E-01 -0.1223E-01 -0.1065E-01 -0.5928E-01 -0.1570E-01  0.7047E-01  0.8382E-01
    19  0.4140E+02  0.7354E-03  0.3231E-02  0.9218E-02  0.9890E-07 -0.4181E-01  0.2102E+00  0.3956E+00  0.2071E+00  0.9482E+00 -0.1652E-01  0.4677E+05  0.4677E+05  0.4677E+05 -0.1174E-02  0.1354E-01  0.2493E-09  0.2985E+00  0.2715E-08  0.1313E-01 -0.1070E-01 -0.9970E-02 -0.5189E-01  0.2797E-01  0.6232E-01  0.7096E-01
    20  0.4370E+02  0.7863E-03  0.3133E-02  0.9185E-02  0.9306E-07 -0.4162E-01  0.2085E+00  0.3876E+00  0.1957E+00  0.8565E+00  0.1057E+00  0.4645E+05  0.4645E+05  0.4645E+05 -0.7774E-03  0.1433E-01  0.2378E-09  0.3665E+00  0.2670E-08  0.1379E-01 -0.1139E-01 -0.1087E-01 -0.5259E-01 -0.1143E-01  0.7822E-01  0.7339E-01
    21  0.4600E+02  0.7643E-03  0.3068E-02  0.9120E-02  0.8860E-07 -0.4289E-01  0.2059E+00  0.3879E+00  0.1811E+00  0.7255E+00  0.8014E-01  0.4621E+05  0.4621E+05  0.4621E+05 -0.1217E-02  0.1536E-01  0.2197E-09  0.4017E+00  0.2214E-08  0.1476E-01 -0.1040E-01 -0.9560E-02 -0.5283E-01  0.6041E-02  0.6699E-01  0.5169E-01
    22  0.4830E+02  0.7445E-03  0.3022E-02  0.9079E-02  0.8527E-07 -0.3887E-01  0.2036E+00  0.3920E+00  0.1924E+00  0.7166E+00 -0.4349E-01  0.4607E+05  0.4607E+05  0.4607E+05 -0.9198E-03  0.1527E-01  0.2189E-09  0.4094E+00  0.1515E-08  0.1467E-01 -0.9023E-02 -0.1088E-01 -0.5686E-01  0.8138E-03  0.6652E-01  0.5149E-01
    23  0.5060E+02  0.8032E-03  0.2973E-02  0.9013E-02  0.8215E-07 -0.4481E-01  0.2024E+00  0.3902E+00  0.2126E+00  0.8127E+00 -0.7697E-01  0.4595E+05  0.4595E+05  0.4595E+05 -0.9928E-03  0.1432E-01  0.2329E-09  0.4054E+00  0.9960E-09  0.1369E-01 -0.1020E-01 -0.9982E-02 -0.5839E-01  0.2189E-01  0.6798E-01  0.5865E-01
    24  0.5290E+02  0.7255E-03  0.2915E-02  0.8926E-02  0.7788E-07 -0.3954E-01  0.2025E+00  0.3849E+00  0.2231E+00  0.8643E+00  0.3984E-03  0.4581E+05  0.4581E+05  0.4581E+05 -0.9785E-03  0.1372E-01  0.2387E-09  0.3790E+00  0.3736E-09  0.1318E-01 -0.8886E-02 -0.1046E-01 -0.5867E-01 -0.1481E-01  0.7761E-01  0.5952E-01
    25  0.5520E+02  0.7941E-03  0.2844E-02  0.8933E-02  0.7336E-07 -0.4029E-01  0.2040E+00  0.3814E+00  0.2241E+00  0.8361E+00  0.4136E-01  0.4563E+05  0.4563E+05  0.4563E+05 -0.7113E-03  0.1387E-01  0.2336E-09  0.3254E+00  0.3128E-09  0.1349E-01 -0.1065E-01 -0.1003E-01 -0.5236E-01  0.1584E-01  0.5664E-01  0.6438E-01
    26  0.5750E+02  0.7610E-03  0.2780E-02  0.8929E-02  0.6906E-07 -0.3772E-01  0.2064E+00  0.3814E+00  0.2195E+00  0.8077E+00 -0.8363E-02  0.4544E+05  0.4544E+05  0.4544E+05 -0.9955E-03  0.1404E-01  0.2278E-09  0.2538E+00  0.5797E-09  0.1382E-01 -0.1066E-01 -0.1065E-01 -0.5757E-01  0.2055E-02  0.4843E-01  0.6678E-01
    27  0.5980E+02  0.7457E-03  0.2716E-02  0.8938E-02  0.6583E-07 -0.4217E-01  0.2085E+00  0.3879E+00  0.2142E+00  0.8542E+00 -0.6929E-01  0.4526E+05  0.4526E+05  0.4526E+05 -0.6514E-03  0.1373E-01  0.2331E-09  0.2168E+00  0.1578E-08  0.1357E-01 -0.1088E-01 -0.1041E-01 -0.6369E-01  0.7072E-02  0.4839E-01  0.7034E-01
    28  0.6210E+02  0.8047E-03  0.2661E-02  0.8983E-02  0.6389E-07 -0.3686E-01  0.2094E+00  0.3928E+00  0.2087E+00  0.8943E+00 -0.3203E-01  0.4504E+05  0.4504E+05  0.4504E+05 -0.8219E-03  0.1349E-01  0.2392E-09  0.2353E+00  0.2693E-08  0.1332E-01 -0.1178E-01 -0.9898E-02 -0.5663E-01  0.2962E-03  0.5447E-01  0.7659E-01
    29  0.6440E+02  0.7235E-03  0.2606E-02  0.9012E-02  0.6205E-07 -0.3753E-01  0.2087E+00  0.3927E+00  0.2068E+00  0.8541E+00  0.5163E-01  0.4477E+05  0.4477E+05  0.4477E+05 -0.7389E-03  0.1389E-01  0.2349E-09  0.2997E+00  0.2865E-08  0.1363E-01 -0.1072E-01 -0.1099E-01 -0.5434E-01  0.3109E-02  0.5773E-01  0.7214E-01
    30  0.6670E+02  0.7983E-03  0.2567E-02  0.9003E-02  0.6035E-07 -0.3434E-01  0.2068E+00  0.3923E+00  0.1987E+00  0.7704E+00  0.5659E-01  0.4456E+05  0.4456E+05  0.4456E+05 -0.6095E-03  0.1463E-01  0.2243E-09  0.3647E+00  0.2755E-08  0.1425E-01 -0.1107E-01 -0.9626E-02 -0.5377E-01  0.1947E-02  0.6220E-01  0.5978E-01
    31  0.6900E+02  0.7561E-03  0.2535E-02  0.8874E-02  0.5817E-07 -0.3350E-01  0.2048E+00  0.3894E+00  0.2023E+00  0.7421E+00 -0.1547E-02  0.4439E+05  0.4439E+05  0.4439E+05 -0.8493E-03  0.1473E-01  0.2196E-09  0.3989E+00  0.2140E-08  0.1429E-01 -0.9813E-02 -0.1067E-01 -0.5799E-01 -0.6782E-03  0.6234E-01  0.5697E-01
