 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1397E-02  0.3668E-03  0.2119E-02  0.2828E-09  0.2213E+00  0.2080E+00  0.5016E-01  0.6710E-01  0.4168E+00  0.1646E-01  0.2373E+05  0.2373E+05  0.2373E+05  0.5563E-03  0.9494E-02  0.7942E-10  0.9472E+00 -0.4475E-08  0.9427E-02 -0.7993E-03 -0.1664E-02 -0.1303E-01 -0.7387E-03  0.2632E-02  0.2096E-02
     2  0.6500E+00  0.1430E-02  0.3504E-03  0.2112E-02  0.2570E-09  0.2218E+00  0.2087E+00  0.3744E-01  0.2220E+00  0.4258E+00 -0.6474E-01  0.2336E+05  0.2336E+05  0.2336E+05  0.6147E-03  0.9371E-02  0.7981E-10  0.5955E+00 -0.1847E-08  0.9348E-02 -0.1185E-02 -0.1711E-02 -0.6134E-02 -0.1042E-02  0.4023E-02  0.2756E-02
     3  0.1300E+01  0.1395E-02  0.3499E-03  0.2092E-02  0.2564E-09  0.2114E+00  0.2088E+00  0.3490E-01 -0.2213E-01  0.4515E+00 -0.1038E+00  0.2304E+05  0.2304E+05  0.2304E+05  0.4544E-03  0.9083E-02  0.8176E-10  0.4369E+00  0.2139E-08  0.9071E-02 -0.1305E-02 -0.1728E-02 -0.2419E-02  0.1841E-02 -0.5674E-02  0.3083E-02
     4  0.1950E+01  0.1392E-02  0.3505E-03  0.2068E-02  0.2527E-09  0.2071E+00  0.2084E+00  0.3961E-01 -0.2967E-01  0.4821E+00 -0.1030E+00  0.2286E+05  0.2286E+05  0.2286E+05  0.4867E-03  0.8747E-02  0.8428E-10  0.7242E+00  0.5453E-08  0.8713E-02 -0.8761E-03 -0.1749E-02 -0.9285E-02 -0.3379E-03 -0.1628E-02  0.2733E-02
     5  0.2600E+01  0.1416E-02  0.3432E-03  0.2060E-02  0.2424E-09  0.2142E+00  0.2072E+00  0.4025E-01  0.3109E-02  0.5038E+00 -0.7096E-01  0.2274E+05  0.2274E+05  0.2274E+05  0.5717E-03  0.8497E-02  0.8678E-10  0.8817E+00  0.1021E-07  0.8450E-02 -0.1107E-02 -0.1667E-02 -0.1107E-01 -0.5957E-03  0.2543E-02  0.3042E-02
     6  0.3250E+01  0.1406E-02  0.3382E-03  0.2056E-02  0.2398E-09  0.2174E+00  0.2053E+00  0.3914E-01  0.6801E-02  0.5092E+00 -0.1727E-01  0.2267E+05  0.2267E+05  0.2267E+05  0.4637E-03  0.8400E-02  0.8832E-10  0.1142E+01  0.1467E-07  0.8322E-02 -0.1139E-02 -0.1716E-02 -0.4282E-02 -0.3196E-03  0.1358E-02  0.3239E-02
     7  0.3900E+01  0.1397E-02  0.3364E-03  0.2058E-02  0.2388E-09  0.2208E+00  0.2029E+00  0.3926E-01 -0.2761E-01  0.5004E+00  0.3530E-01  0.2262E+05  0.2262E+05  0.2262E+05  0.5083E-03  0.8468E-02  0.8858E-10  0.1507E+01  0.1622E-07  0.8334E-02 -0.8182E-03 -0.1765E-02 -0.6844E-02  0.4844E-03  0.2873E-02  0.2805E-02
     8  0.4550E+01  0.1403E-02  0.3330E-03  0.2070E-02  0.2349E-09  0.2221E+00  0.2003E+00  0.4082E-01 -0.4085E-01  0.4771E+00  0.6521E-01  0.2256E+05  0.2256E+05  0.2256E+05  0.5424E-03  0.8687E-02  0.8765E-10  0.1852E+01  0.1682E-07  0.8494E-02 -0.8808E-03 -0.1670E-02 -0.1004E-01  0.9642E-04  0.7010E-02  0.2502E-02
     9  0.5200E+01  0.1408E-02  0.3288E-03  0.2082E-02  0.2333E-09  0.2267E+00  0.1976E+00  0.4104E-01 -0.1102E-01  0.4492E+00  0.6070E-01  0.2252E+05  0.2252E+05  0.2252E+05  0.4959E-03  0.8955E-02  0.8604E-10  0.2235E+01  0.1644E-07  0.8692E-02 -0.8522E-03 -0.1684E-02 -0.7215E-02 -0.9167E-03  0.9265E-02  0.2330E-02
    10  0.5850E+01  0.1408E-02  0.3279E-03  0.2088E-02  0.2350E-09  0.2286E+00  0.1952E+00  0.3983E-01  0.6715E-02  0.4306E+00  0.2259E-01  0.2249E+05  0.2249E+05  0.2249E+05  0.5045E-03  0.9166E-02  0.8470E-10  0.2685E+01  0.1369E-07  0.8798E-02 -0.6480E-03 -0.1737E-02 -0.6297E-02  0.2512E-03  0.8587E-02  0.2109E-02
    11  0.6500E+01  0.1405E-02  0.3286E-03  0.2092E-02  0.2368E-09  0.2288E+00  0.1932E+00  0.3893E-01  0.4489E-02  0.4301E+00 -0.3140E-01  0.2246E+05  0.2246E+05  0.2246E+05  0.5307E-03  0.9228E-02  0.8484E-10  0.3065E+01  0.9703E-08  0.8749E-02 -0.6391E-03 -0.1712E-02 -0.8781E-02  0.2544E-03  0.8525E-02  0.1997E-02
    12  0.7150E+01  0.1400E-02  0.3273E-03  0.2094E-02  0.2362E-09  0.2300E+00  0.1920E+00  0.3908E-01 -0.4240E-02  0.4459E+00 -0.7855E-01  0.2242E+05  0.2242E+05  0.2242E+05  0.5107E-03  0.9127E-02  0.8646E-10  0.3261E+01  0.5766E-08  0.8578E-02 -0.6157E-03 -0.1673E-02 -0.9624E-02  0.2436E-03  0.1035E-01  0.1940E-02
    13  0.7800E+01  0.1411E-02  0.3235E-03  0.2102E-02  0.2328E-09  0.2337E+00  0.1916E+00  0.3931E-01  0.8482E-02  0.4719E+00 -0.9809E-01  0.2238E+05  0.2238E+05  0.2238E+05  0.5186E-03  0.8894E-02  0.8909E-10  0.3224E+01  0.1032E-08  0.8357E-02 -0.5258E-03 -0.1706E-02 -0.6951E-02 -0.8727E-03  0.1128E-01  0.2047E-02
    14  0.8450E+01  0.1411E-02  0.3212E-03  0.2102E-02  0.2285E-09  0.2366E+00  0.1921E+00  0.3964E-01  0.2063E-01  0.5025E+00 -0.8689E-01  0.2235E+05  0.2235E+05  0.2235E+05  0.5478E-03  0.8594E-02  0.9187E-10  0.3073E+01 -0.4427E-08  0.8103E-02 -0.6109E-03 -0.1713E-02 -0.7085E-02  0.1085E-03  0.1142E-01  0.2274E-02
