 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.1988E-02  0.6567E-02  0.2651E-07 -0.5266E-01  0.2077E+00  0.3176E+00  0.1041E+00  0.7736E+00  0.1378E-01  0.4081E+05  0.4081E+05  0.4081E+05 -0.7477E-03  0.1265E-01  0.1905E-09  0.4909E+00  0.1249E-08  0.1216E-01 -0.5657E-02 -0.8226E-02 -0.6226E-01  0.3273E-02  0.6414E-01  0.3817E-01
     2  0.1400E+01  0.0000E+00  0.1999E-02  0.6590E-02  0.2692E-07 -0.5469E-01  0.2079E+00  0.2535E+00  0.4125E+00  0.7587E+00  0.2029E-01  0.4069E+05  0.4069E+05  0.4069E+05 -0.5931E-03  0.1274E-01  0.1895E-09  0.4513E+00  0.2595E-08  0.1232E-01 -0.7239E-02 -0.7019E-02 -0.3879E-01  0.8142E-03  0.7796E-01  0.3909E-01
     3  0.2800E+01  0.0000E+00  0.2016E-02  0.6430E-02  0.2707E-07 -0.5553E-01  0.2088E+00  0.1955E+00  0.2586E+00  0.7560E+00  0.1665E-01  0.4053E+05  0.4053E+05  0.4053E+05 -0.1072E-02  0.1274E-01  0.1869E-09  0.4857E+00  0.3273E-08  0.1223E-01 -0.6914E-02 -0.8039E-02 -0.3875E-01 -0.8203E-02  0.6750E-01  0.4214E-01
     4  0.4200E+01  0.0000E+00  0.2037E-02  0.6338E-02  0.2749E-07 -0.5609E-01  0.2105E+00  0.2031E+00  0.1487E+00  0.7685E+00 -0.4176E-02  0.4038E+05  0.4038E+05  0.4038E+05 -0.6094E-03  0.1271E-01  0.1868E-09  0.5193E+00  0.3854E-08  0.1211E-01 -0.6994E-02 -0.7739E-02 -0.4343E-01  0.7454E-02  0.3814E-01  0.3991E-01
     5  0.5600E+01  0.0000E+00  0.2030E-02  0.6247E-02  0.2706E-07 -0.6014E-01  0.2124E+00  0.2132E+00  0.1662E+00  0.7835E+00 -0.1647E-01  0.4021E+05  0.4021E+05  0.4021E+05 -0.9588E-03  0.1264E-01  0.1865E-09  0.5423E+00  0.4192E-08  0.1198E-01 -0.7895E-02 -0.7432E-02 -0.4528E-01 -0.6543E-02  0.4338E-01  0.4423E-01
     6  0.7000E+01  0.0000E+00  0.1991E-02  0.6196E-02  0.2612E-07 -0.5768E-01  0.2140E+00  0.2130E+00  0.1889E+00  0.8007E+00 -0.1006E-01  0.4006E+05  0.4006E+05  0.4006E+05 -0.7764E-03  0.1261E-01  0.1864E-09  0.5841E+00  0.4028E-08  0.1186E-01 -0.7624E-02 -0.8074E-02 -0.3768E-01  0.2526E-03  0.4614E-01  0.4709E-01
     7  0.8400E+01  0.0000E+00  0.1965E-02  0.6119E-02  0.2506E-07 -0.6089E-01  0.2153E+00  0.2133E+00  0.2022E+00  0.8058E+00  0.1021E-01  0.3985E+05  0.3985E+05  0.3985E+05 -0.7679E-03  0.1263E-01  0.1849E-09  0.6231E+00  0.3920E-08  0.1180E-01 -0.8487E-02 -0.7382E-02 -0.4670E-01  0.2389E-02  0.5256E-01  0.4888E-01
     8  0.9800E+01  0.0000E+00  0.1933E-02  0.6082E-02  0.2439E-07 -0.6471E-01  0.2160E+00  0.2111E+00  0.2125E+00  0.7966E+00  0.3349E-01  0.3972E+05  0.3972E+05  0.3972E+05 -0.1008E-02  0.1277E-01  0.1831E-09  0.6614E+00  0.4029E-08  0.1186E-01 -0.8008E-02 -0.8063E-02 -0.3534E-01 -0.6127E-02  0.5193E-01  0.4904E-01
     9  0.1120E+02  0.0000E+00  0.1922E-02  0.5984E-02  0.2368E-07 -0.6419E-01  0.2159E+00  0.2102E+00  0.2130E+00  0.7722E+00  0.6709E-01  0.3956E+05  0.3956E+05  0.3956E+05 -0.7159E-03  0.1300E-01  0.1782E-09  0.7087E+00  0.3316E-08  0.1197E-01 -0.8517E-02 -0.7457E-02 -0.4572E-01  0.2942E-02  0.5686E-01  0.4728E-01
    10  0.1260E+02  0.0000E+00  0.1905E-02  0.5881E-02  0.2304E-07 -0.6908E-01  0.2152E+00  0.2085E+00  0.2025E+00  0.7358E+00  0.7852E-01  0.3942E+05  0.3942E+05  0.3942E+05 -0.1153E-02  0.1329E-01  0.1726E-09  0.7594E+00  0.2947E-08  0.1214E-01 -0.7907E-02 -0.7887E-02 -0.3951E-01 -0.2409E-02  0.5569E-01  0.4400E-01
