 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.6868E-03  0.2528E-02  0.1224E-08 -0.4957E-01  0.2075E+00  0.9950E-01  0.5732E-01  0.5410E+00 -0.2530E-01  0.2988E+05  0.2988E+05  0.2988E+05 -0.2415E-03  0.9346E-02  0.9877E-10  0.1081E+01  0.2753E-09  0.9024E-02 -0.1800E-02 -0.2355E-02 -0.1887E-01 -0.1822E-02  0.1168E-01  0.5731E-02
     2  0.8000E+00  0.0000E+00  0.6677E-03  0.2556E-02  0.1153E-08 -0.4702E-01  0.2074E+00  0.6433E-01  0.4400E+00  0.5374E+00  0.5826E-02  0.2960E+05  0.2960E+05  0.2960E+05 -0.2030E-03  0.9281E-02  0.9909E-10  0.8801E+00  0.1812E-08  0.9098E-02 -0.1941E-02 -0.2254E-02 -0.8693E-02  0.8705E-05  0.2049E-01  0.5964E-02
     3  0.1600E+01  0.0000E+00  0.6816E-03  0.2535E-02  0.1198E-08 -0.4491E-01  0.2077E+00  0.4987E-01  0.4427E-02  0.5352E+00  0.4525E-01  0.2926E+05  0.2926E+05  0.2926E+05 -0.2548E-03  0.9240E-02  0.9881E-10  0.7548E+00  0.4670E-08  0.9097E-02 -0.2102E-02 -0.2390E-02 -0.7856E-02  0.5734E-03  0.5833E-03  0.6511E-02
     4  0.2400E+01  0.0000E+00  0.6955E-03  0.2506E-02  0.1240E-08 -0.3718E-01  0.2086E+00  0.6494E-01 -0.2709E-01  0.5256E+00  0.7283E-01  0.2903E+05  0.2903E+05  0.2903E+05 -0.2036E-03  0.9373E-02  0.9759E-10  0.8980E+00  0.6454E-08  0.9167E-02 -0.1919E-02 -0.2360E-02 -0.1332E-01 -0.8578E-03 -0.1937E-02  0.5765E-02
     5  0.3200E+01  0.0000E+00  0.6734E-03  0.2504E-02  0.1167E-08 -0.3473E-01  0.2091E+00  0.6499E-01  0.8249E-01  0.5014E+00  0.7762E-01  0.2885E+05  0.2885E+05  0.2885E+05 -0.1494E-03  0.9648E-02  0.9555E-10  0.1053E+01  0.7962E-08  0.9401E-02 -0.1969E-02 -0.2230E-02 -0.1373E-01  0.9149E-03  0.1176E-01  0.5444E-02
     6  0.4000E+01  0.0000E+00  0.6596E-03  0.2508E-02  0.1139E-08 -0.3155E-01  0.2094E+00  0.6234E-01  0.9152E-01  0.4781E+00  0.4231E-01  0.2872E+05  0.2872E+05  0.2872E+05 -0.1660E-03  0.9918E-02  0.9405E-10  0.1193E+01  0.1002E-07  0.9627E-02 -0.2180E-02 -0.2428E-02 -0.1121E-01 -0.1995E-02  0.1219E-01  0.6190E-02
     7  0.4800E+01  0.0000E+00  0.6576E-03  0.2500E-02  0.1150E-08 -0.2714E-01  0.2096E+00  0.6140E-01  0.1056E+00  0.4741E+00 -0.1545E-02  0.2859E+05  0.2859E+05  0.2859E+05 -0.1332E-03  0.1007E-01  0.9376E-10  0.1439E+01  0.1067E-07  0.9649E-02 -0.1982E-02 -0.2289E-02 -0.9997E-02  0.9655E-03  0.9239E-02  0.5160E-02
     8  0.5600E+01  0.0000E+00  0.6558E-03  0.2485E-02  0.1147E-08 -0.2709E-01  0.2095E+00  0.5930E-01  0.1047E+00  0.4846E+00 -0.2902E-01  0.2842E+05  0.2842E+05  0.2842E+05 -0.1353E-03  0.1010E-01  0.9403E-10  0.1689E+01  0.9547E-08  0.9517E-02 -0.2062E-02 -0.2329E-02 -0.1298E-01 -0.3030E-03  0.1034E-01  0.5429E-02
     9  0.6400E+01  0.0000E+00  0.6471E-03  0.2480E-02  0.1126E-08 -0.2240E-01  0.2092E+00  0.5801E-01  0.6793E-01  0.4984E+00 -0.2823E-01  0.2824E+05  0.2824E+05  0.2824E+05 -0.1156E-03  0.1007E-01  0.9484E-10  0.1880E+01  0.8443E-08  0.9364E-02 -0.2061E-02 -0.2385E-02 -0.1025E-01 -0.6102E-03  0.9673E-02  0.5569E-02
    10  0.7200E+01  0.0000E+00  0.6360E-03  0.2455E-02  0.1084E-08 -0.1943E-01  0.2087E+00  0.5939E-01  0.4270E-01  0.5097E+00 -0.6857E-02  0.2805E+05  0.2805E+05  0.2805E+05 -0.9022E-04  0.1002E-01  0.9495E-10  0.2050E+01  0.6493E-08  0.9195E-02 -0.1984E-02 -0.2253E-02 -0.1094E-01  0.3838E-03  0.1166E-01  0.5126E-02
    11  0.8000E+01  0.0000E+00  0.6272E-03  0.2447E-02  0.1050E-08 -0.1691E-01  0.2081E+00  0.6115E-01  0.4501E-01  0.5086E+00  0.1786E-01  0.2788E+05  0.2788E+05  0.2788E+05 -0.1016E-03  0.1005E-01  0.9450E-10  0.2140E+01  0.4870E-08  0.9174E-02 -0.2016E-02 -0.2386E-02 -0.1176E-01 -0.7700E-03  0.1328E-01  0.5511E-02
    12  0.8800E+01  0.0000E+00  0.6163E-03  0.2446E-02  0.1008E-08 -0.1365E-01  0.2075E+00  0.6127E-01  0.6711E-01  0.4978E+00  0.4171E-01  0.2773E+05  0.2773E+05  0.2773E+05 -0.5466E-04  0.1009E-01  0.9339E-10  0.2141E+01  0.2952E-08  0.9256E-02 -0.1943E-02 -0.2335E-02 -0.1025E-01  0.2421E-03  0.1249E-01  0.5139E-02
    13  0.9600E+01  0.0000E+00  0.6078E-03  0.2443E-02  0.9640E-09 -0.1216E-01  0.2068E+00  0.6022E-01  0.6197E-01  0.4819E+00  0.4624E-01  0.2759E+05  0.2759E+05  0.2759E+05 -0.7223E-04  0.1011E-01  0.9188E-10  0.2039E+01  0.5588E-09  0.9381E-02 -0.1937E-02 -0.2262E-02 -0.1264E-01 -0.4292E-03  0.1225E-01  0.4895E-02
    14  0.1040E+02  0.0000E+00  0.5963E-03  0.2437E-02  0.9159E-09 -0.8996E-02  0.2063E+00  0.6011E-01  0.3927E-01  0.4688E+00  0.3053E-01  0.2747E+05  0.2747E+05  0.2747E+05 -0.5350E-04  0.1008E-01  0.9071E-10  0.1901E+01 -0.1316E-08  0.9477E-02 -0.1886E-02 -0.2401E-02 -0.1061E-01 -0.2153E-03  0.1010E-01  0.5110E-02
    15  0.1120E+02  0.0000E+00  0.5892E-03  0.2422E-02  0.8799E-09 -0.5560E-02  0.2059E+00  0.6171E-01  0.1890E-01  0.4652E+00  0.1828E-02  0.2739E+05  0.2739E+05  0.2739E+05 -0.1076E-04  0.9968E-02  0.9023E-10  0.1746E+01 -0.2067E-08  0.9469E-02 -0.1925E-02 -0.2306E-02 -0.1164E-01  0.2019E-03  0.1175E-01  0.5064E-02
    16  0.1200E+02  0.0000E+00  0.5859E-03  0.2408E-02  0.8562E-09 -0.1287E-02  0.2058E+00  0.6463E-01  0.5152E-01  0.4729E+00 -0.3106E-01  0.2732E+05  0.2732E+05  0.2732E+05 -0.3728E-04  0.9776E-02  0.9075E-10  0.1593E+01 -0.2276E-08  0.9364E-02 -0.1874E-02 -0.2280E-02 -0.1293E-01 -0.6055E-03  0.1086E-01  0.5075E-02
    17  0.1280E+02  0.0000E+00  0.5807E-03  0.2400E-02  0.8315E-09  0.1621E-02  0.2058E+00  0.6239E-01  0.1047E+00  0.4881E+00 -0.4381E-01  0.2726E+05  0.2726E+05  0.2726E+05  0.9062E-05  0.9528E-02  0.9210E-10  0.1397E+01 -0.2776E-08  0.9207E-02 -0.1855E-02 -0.2398E-02 -0.1234E-01  0.1937E-03  0.7701E-02  0.5577E-02
    18  0.1360E+02  0.0000E+00  0.5736E-03  0.2395E-02  0.8048E-09  0.3421E-02  0.2059E+00  0.5809E-01  0.5317E-01  0.5041E+00 -0.3598E-01  0.2720E+05  0.2720E+05  0.2720E+05  0.2245E-04  0.9298E-02  0.9341E-10  0.1226E+01 -0.2240E-08  0.9051E-02 -0.1947E-02 -0.2293E-02 -0.1124E-01  0.4336E-04  0.6253E-02  0.5737E-02
    19  0.1440E+02  0.0000E+00  0.5686E-03  0.2391E-02  0.7867E-09  0.6384E-02  0.2063E+00  0.6218E-01 -0.2439E-01  0.5165E+00 -0.1725E-01  0.2715E+05  0.2715E+05  0.2715E+05  0.2951E-05  0.9152E-02  0.9427E-10  0.1135E+01 -0.1093E-08  0.8944E-02 -0.1920E-02 -0.2311E-02 -0.1107E-01 -0.1402E-02  0.6751E-02  0.5925E-02
    20  0.1520E+02  0.0000E+00  0.5639E-03  0.2389E-02  0.7668E-09  0.1105E-01  0.2068E+00  0.6774E-01  0.5920E-01  0.5199E+00  0.3456E-02  0.2709E+05  0.2709E+05  0.2709E+05  0.3917E-04  0.9097E-02  0.9435E-10  0.1035E+01  0.2875E-09  0.8925E-02 -0.1933E-02 -0.2371E-02 -0.1516E-01  0.9311E-03  0.8510E-02  0.6259E-02
