 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    352.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.1271E-02  0.4055E-02  0.6794E-08 -0.1131E+00  0.2047E+00  0.2139E+00  0.1366E+00  0.6900E+00  0.1880E-01  0.3568E+05  0.3568E+05  0.3568E+05 -0.1060E-02  0.1056E-01  0.1429E-09  0.7163E+00  0.1927E-08  0.1002E-01 -0.4292E-02 -0.7276E-02 -0.4633E-01 -0.1964E-02  0.3988E-01  0.3596E-01
     2  0.1100E+01  0.0000E+00  0.1268E-02  0.4074E-02  0.6767E-08 -0.1161E+00  0.2043E+00  0.1424E+00  0.3527E+00  0.6822E+00 -0.1347E-01  0.3563E+05  0.3563E+05  0.3563E+05 -0.9704E-03  0.1057E-01  0.1430E-09  0.6913E+00  0.3025E-08  0.1009E-01 -0.4513E-02 -0.6631E-02 -0.3517E-01  0.1433E-02  0.4877E-01  0.3256E-01
     3  0.2200E+01  0.0000E+00  0.1273E-02  0.4015E-02  0.6798E-08 -0.1190E+00  0.2054E+00  0.1276E+00 -0.3282E-01  0.7115E+00 -0.4525E-01  0.3556E+05  0.3556E+05  0.3556E+05 -0.1158E-02  0.1041E-01  0.1449E-09  0.7277E+00  0.3914E-08  0.9852E-02 -0.4841E-02 -0.6931E-02 -0.3832E-01 -0.5478E-02  0.3063E-01  0.3659E-01
     4  0.3300E+01  0.0000E+00  0.1288E-02  0.4012E-02  0.7064E-08 -0.1099E+00  0.2075E+00  0.1668E+00 -0.1108E-01  0.7489E+00 -0.7049E-01  0.3552E+05  0.3552E+05  0.3552E+05 -0.1017E-02  0.1029E-01  0.1481E-09  0.7380E+00  0.4688E-08  0.9683E-02 -0.4928E-02 -0.7081E-02 -0.4166E-01  0.7147E-03  0.3011E-01  0.3952E-01
     5  0.4400E+01  0.0000E+00  0.1283E-02  0.4016E-02  0.7065E-08 -0.1116E+00  0.2099E+00  0.1665E+00  0.1341E+00  0.7937E+00 -0.7728E-01  0.3546E+05  0.3546E+05  0.3546E+05 -0.9386E-03  0.1017E-01  0.1515E-09  0.7807E+00  0.5165E-08  0.9491E-02 -0.5365E-02 -0.6680E-02 -0.3802E-01 -0.8900E-03  0.5489E-01  0.4157E-01
     6  0.5500E+01  0.0000E+00  0.1267E-02  0.4014E-02  0.6951E-08 -0.1078E+00  0.2126E+00  0.1558E+00  0.1377E+00  0.8305E+00 -0.6468E-01  0.3541E+05  0.3541E+05  0.3541E+05 -0.9846E-03  0.1009E-01  0.1538E-09  0.8243E+00  0.5582E-08  0.9349E-02 -0.6172E-02 -0.7159E-02 -0.3837E-01 -0.4720E-02  0.5664E-01  0.5207E-01
     7  0.6600E+01  0.0000E+00  0.1258E-02  0.4003E-02  0.6912E-08 -0.1094E+00  0.2152E+00  0.1562E+00  0.1304E+00  0.8611E+00 -0.2849E-01  0.3536E+05  0.3536E+05  0.3536E+05 -0.9332E-03  0.1005E-01  0.1551E-09  0.8703E+00  0.5797E-08  0.9233E-02 -0.6204E-02 -0.6990E-02 -0.3301E-01  0.1980E-02  0.4681E-01  0.5191E-01
     8  0.7700E+01  0.0000E+00  0.1254E-02  0.4002E-02  0.6845E-08 -0.1123E+00  0.2176E+00  0.1567E+00  0.1511E+00  0.8690E+00  0.2529E-01  0.3530E+05  0.3530E+05  0.3530E+05 -0.9443E-03  0.1014E-01  0.1546E-09  0.8997E+00  0.5731E-08  0.9261E-02 -0.6786E-02 -0.6965E-02 -0.3869E-01 -0.2611E-02  0.4831E-01  0.5614E-01
     9  0.8800E+01  0.0000E+00  0.1238E-02  0.3977E-02  0.6633E-08 -0.1126E+00  0.2196E+00  0.1535E+00  0.1663E+00  0.8456E+00  0.9516E-01  0.3521E+05  0.3521E+05  0.3521E+05 -0.9867E-03  0.1037E-01  0.1507E-09  0.9490E+00  0.5125E-08  0.9456E-02 -0.7070E-02 -0.7154E-02 -0.3314E-01 -0.2642E-02  0.4436E-01  0.5801E-01
    10  0.9900E+01  0.0000E+00  0.1228E-02  0.3960E-02  0.6442E-08 -0.1151E+00  0.2210E+00  0.1507E+00  0.1704E+00  0.7970E+00  0.1477E+00  0.3512E+05  0.3512E+05  0.3512E+05 -0.9563E-03  0.1074E-01  0.1452E-09  0.9765E+00  0.4770E-08  0.9823E-02 -0.7165E-02 -0.6958E-02 -0.3497E-01  0.8620E-03  0.4189E-01  0.5385E-01
    11  0.1100E+02  0.0000E+00  0.1222E-02  0.3937E-02  0.6299E-08 -0.1173E+00  0.2217E+00  0.1487E+00  0.1660E+00  0.7296E+00  0.1725E+00  0.3505E+05  0.3505E+05  0.3505E+05 -0.1029E-02  0.1124E-01  0.1380E-09  0.1008E+01  0.4197E-08  0.1030E-01 -0.7360E-02 -0.7144E-02 -0.3733E-01 -0.4162E-02  0.4042E-01  0.5217E-01
    12  0.1210E+02  0.0000E+00  0.1217E-02  0.3906E-02  0.6205E-08 -0.1165E+00  0.2215E+00  0.1465E+00  0.1681E+00  0.6616E+00  0.1601E+00  0.3499E+05  0.3499E+05  0.3499E+05 -0.9741E-03  0.1171E-01  0.1307E-09  0.1036E+01  0.3460E-08  0.1074E-01 -0.7215E-02 -0.6958E-02 -0.3302E-01 -0.1246E-03  0.3541E-01  0.4579E-01
