 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.4683E-03  0.2290E-02  0.5099E-09  0.7884E-01  0.2061E+00  0.6232E-01  0.3546E-01  0.4989E+00 -0.7904E-02  0.2548E+05  0.2548E+05  0.2548E+05  0.2461E-03  0.9100E-02  0.9073E-10  0.1316E+01 -0.1036E-08  0.8898E-02 -0.1688E-02 -0.2256E-02 -0.1158E-01 -0.9350E-03  0.6901E-02  0.5260E-02
     2  0.8000E+00  0.0000E+00  0.4598E-03  0.2293E-02  0.4870E-09  0.7779E-01  0.2064E+00  0.4890E-01  0.2080E+00  0.5006E+00  0.3960E-02  0.2533E+05  0.2533E+05  0.2533E+05  0.2690E-03  0.9027E-02  0.9085E-10  0.1096E+01  0.2752E-09  0.8897E-02 -0.1837E-02 -0.2270E-02 -0.1124E-01  0.1211E-02  0.9675E-02  0.5789E-02
     3  0.1600E+01  0.0000E+00  0.4597E-03  0.2278E-02  0.4847E-09  0.7594E-01  0.2069E+00  0.4642E-01 -0.1619E-02  0.5018E+00  0.2039E-01  0.2513E+05  0.2513E+05  0.2513E+05  0.2214E-03  0.8992E-02  0.9056E-10  0.1047E+01  0.2470E-08  0.8875E-02 -0.1900E-02 -0.2293E-02 -0.9457E-02 -0.1982E-03  0.1401E-02  0.5979E-02
     4  0.2400E+01  0.0000E+00  0.4593E-03  0.2257E-02  0.4800E-09  0.7801E-01  0.2076E+00  0.5197E-01  0.3361E-01  0.4971E+00  0.3885E-01  0.2498E+05  0.2498E+05  0.2498E+05  0.2468E-03  0.9037E-02  0.8959E-10  0.1134E+01  0.3582E-08  0.8901E-02 -0.1798E-02 -0.2234E-02 -0.1164E-01 -0.6152E-03  0.3008E-02  0.5528E-02
     5  0.3200E+01  0.0000E+00  0.4504E-03  0.2253E-02  0.4597E-09  0.7858E-01  0.2080E+00  0.4977E-01  0.6837E-01  0.4857E+00  0.4213E-01  0.2487E+05  0.2487E+05  0.2487E+05  0.2495E-03  0.9155E-02  0.8849E-10  0.1214E+01  0.5136E-08  0.9010E-02 -0.1886E-02 -0.2273E-02 -0.1281E-01  0.4017E-03  0.6713E-02  0.5780E-02
     6  0.4000E+01  0.0000E+00  0.4453E-03  0.2249E-02  0.4524E-09  0.8143E-01  0.2083E+00  0.4950E-01  0.4623E-01  0.4752E+00  0.3106E-01  0.2475E+05  0.2475E+05  0.2475E+05  0.2550E-03  0.9262E-02  0.8761E-10  0.1286E+01  0.7142E-08  0.9106E-02 -0.1937E-02 -0.2298E-02 -0.9597E-02 -0.5162E-03  0.4715E-02  0.5833E-02
     7  0.4800E+01  0.0000E+00  0.4442E-03  0.2236E-02  0.4499E-09  0.8061E-01  0.2083E+00  0.4956E-01  0.6544E-01  0.4712E+00  0.1521E-01  0.2464E+05  0.2464E+05  0.2464E+05  0.2391E-03  0.9325E-02  0.8708E-10  0.1496E+01  0.7912E-08  0.9117E-02 -0.1883E-02 -0.2229E-02 -0.1153E-01  0.8194E-03  0.4851E-02  0.5433E-02
     8  0.5600E+01  0.0000E+00  0.4400E-03  0.2227E-02  0.4416E-09  0.8133E-01  0.2082E+00  0.4849E-01  0.4996E-01  0.4732E+00  0.1443E-02  0.2449E+05  0.2449E+05  0.2449E+05  0.2465E-03  0.9344E-02  0.8711E-10  0.1726E+01  0.7893E-08  0.9073E-02 -0.1874E-02 -0.2299E-02 -0.1136E-01 -0.9851E-03  0.6280E-02  0.5601E-02
     9  0.6400E+01  0.0000E+00  0.4368E-03  0.2213E-02  0.4368E-09  0.8303E-01  0.2079E+00  0.4897E-01  0.3896E-01  0.4762E+00 -0.2048E-02  0.2437E+05  0.2437E+05  0.2437E+05  0.2601E-03  0.9345E-02  0.8713E-10  0.1942E+01  0.7557E-08  0.9007E-02 -0.1913E-02 -0.2251E-02 -0.1046E-01  0.3990E-03  0.5652E-02  0.5535E-02
    10  0.7200E+01  0.0000E+00  0.4316E-03  0.2204E-02  0.4255E-09  0.8320E-01  0.2074E+00  0.4923E-01  0.3762E-01  0.4792E+00  0.2676E-02  0.2424E+05  0.2424E+05  0.2424E+05  0.2234E-03  0.9328E-02  0.8720E-10  0.2104E+01  0.6265E-08  0.8946E-02 -0.1849E-02 -0.2262E-02 -0.1089E-01  0.7168E-04  0.6900E-02  0.5429E-02
