 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    704.000000000000     
    sigma cut:    4.00000000000000     
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00 -0.4337E-15  0.7219E-03  0.2249E-02  0.1222E-08  0.1581E+00  0.2043E+00  0.1062E+00  0.4883E-01  0.5590E+00  0.9990E-02  0.3022E+05  0.3022E+05  0.3022E+05  0.7950E-03  0.8695E-02  0.9575E-10  0.1058E+01  0.5269E-09  0.8278E-02 -0.9100E-03 -0.6955E-03 -0.1896E-01  0.1760E-02  0.1672E-01  0.1303E-02
     2  0.7000E+00 -0.1735E-14  0.7367E-03  0.2310E-02  0.1286E-08  0.1568E+00  0.2037E+00  0.5742E-01  0.4685E+00  0.5299E+00  0.6905E-01  0.3020E+05  0.3020E+05  0.3020E+05  0.8212E-03  0.8905E-02  0.9500E-10  0.8551E+00  0.2952E-08  0.8619E-02 -0.1177E-02 -0.7383E-03 -0.1071E-01 -0.1694E-02  0.2875E-01  0.1750E-02
     3  0.1400E+01  0.2168E-15  0.7720E-03  0.2317E-02  0.1438E-08  0.1485E+00  0.2042E+00  0.4764E-01 -0.1144E+00  0.5067E+00  0.1056E+00  0.3016E+05  0.3016E+05  0.3016E+05  0.7946E-03  0.9177E-02  0.9418E-10  0.8308E+00  0.6127E-08  0.8871E-02 -0.1384E-02 -0.8216E-03 -0.9675E-02  0.1514E-03 -0.9390E-03  0.1632E-02
     4  0.2100E+01 -0.1301E-14  0.7992E-03  0.2303E-02  0.1577E-08  0.1475E+00  0.2054E+00  0.6823E-01 -0.7018E-01  0.4809E+00  0.1069E+00  0.3013E+05  0.3013E+05  0.3013E+05  0.8214E-03  0.9610E-02  0.9259E-10  0.1033E+01  0.8027E-08  0.9118E-02 -0.1031E-02 -0.7526E-03 -0.1263E-01 -0.7367E-03  0.9325E-02  0.1146E-02
     5  0.2800E+01  0.2168E-15  0.7872E-03  0.2329E-02  0.1580E-08  0.1527E+00  0.2061E+00  0.6524E-01  0.1027E+00  0.4526E+00  0.6178E-01  0.3012E+05  0.3012E+05  0.3012E+05  0.8551E-03  0.1010E-01  0.9129E-10  0.1251E+01  0.9455E-08  0.9439E-02 -0.1241E-02 -0.6928E-03 -0.1440E-01 -0.1431E-03  0.2699E-01  0.1542E-02
     6  0.3500E+01  0.1084E-14  0.7772E-03  0.2348E-02  0.1604E-08  0.1541E+00  0.2067E+00  0.5990E-01  0.1060E+00  0.4396E+00 -0.1172E-01  0.3007E+05  0.3007E+05  0.3007E+05  0.8250E-03  0.1044E-01  0.9113E-10  0.1426E+01  0.1059E-07  0.9619E-02 -0.1445E-02 -0.8414E-03 -0.1151E-01 -0.1064E-02  0.2188E-01  0.1761E-02
     7  0.4200E+01  0.1301E-14  0.7807E-03  0.2345E-02  0.1682E-08  0.1555E+00  0.2073E+00  0.5805E-01  0.9519E-01  0.4584E+00 -0.6998E-01  0.3003E+05  0.3003E+05  0.3003E+05  0.8585E-03  0.1057E-01  0.9290E-10  0.1646E+01  0.1069E-07  0.9452E-02 -0.1184E-02 -0.7369E-03 -0.9665E-02 -0.6147E-03  0.1914E-01  0.1265E-02
     8  0.4900E+01  0.4337E-15  0.7840E-03  0.2349E-02  0.1740E-08  0.1551E+00  0.2076E+00  0.5647E-01  0.7635E-01  0.4895E+00 -0.8326E-01  0.2998E+05  0.2998E+05  0.2998E+05  0.8502E-03  0.1067E-01  0.9507E-10  0.1853E+01  0.9860E-08  0.9176E-02 -0.1406E-02 -0.7374E-03 -0.1317E-01  0.5955E-04  0.2029E-01  0.1553E-02
     9  0.5600E+01 -0.1084E-14  0.7760E-03  0.2354E-02  0.1744E-08  0.1566E+00  0.2078E+00  0.5575E-01  0.5410E-01  0.5115E+00 -0.4666E-01  0.2992E+05  0.2992E+05  0.2992E+05  0.8465E-03  0.1077E-01  0.9595E-10  0.2053E+01  0.8678E-08  0.8971E-02 -0.1367E-02 -0.8443E-03 -0.1001E-01 -0.1646E-02  0.2068E-01  0.1562E-02
    10  0.6300E+01  0.6505E-15  0.7666E-03  0.2375E-02  0.1727E-08  0.1596E+00  0.2079E+00  0.5620E-01  0.4370E-01  0.5186E+00  0.1128E-01  0.2987E+05  0.2987E+05  0.2987E+05  0.8684E-03  0.1097E-01  0.9596E-10  0.2211E+01  0.7325E-08  0.8943E-02 -0.1306E-02 -0.6978E-03 -0.1024E-01  0.5635E-03  0.2146E-01  0.1343E-02
    11  0.7000E+01 -0.1518E-14  0.7586E-03  0.2387E-02  0.1690E-08  0.1620E+00  0.2077E+00  0.5645E-01  0.5005E-01  0.5090E+00  0.6006E-01  0.2980E+05  0.2980E+05  0.2980E+05  0.8466E-03  0.1119E-01  0.9461E-10  0.2315E+01  0.6052E-08  0.9060E-02 -0.1413E-02 -0.7997E-03 -0.1231E-01 -0.6684E-03  0.2186E-01  0.1500E-02
    12  0.7700E+01 -0.1084E-14  0.7516E-03  0.2400E-02  0.1665E-08  0.1664E+00  0.2075E+00  0.5592E-01  0.6444E-01  0.4842E+00  0.1048E+00  0.2975E+05  0.2975E+05  0.2975E+05  0.8867E-03  0.1152E-01  0.9182E-10  0.2384E+01  0.4175E-08  0.9339E-02 -0.1284E-02 -0.7841E-03 -0.8659E-02 -0.1008E-02  0.2012E-01  0.1246E-02
    13  0.8400E+01 -0.1301E-14  0.7471E-03  0.2407E-02  0.1622E-08  0.1675E+00  0.2070E+00  0.5492E-01  0.6251E-01  0.4574E+00  0.1069E+00  0.2970E+05  0.2970E+05  0.2970E+05  0.8720E-03  0.1172E-01  0.8911E-10  0.2357E+01  0.2755E-08  0.9610E-02 -0.1349E-02 -0.6980E-03 -0.1169E-01  0.2930E-04  0.1868E-01  0.1206E-02
    14  0.9100E+01  0.4337E-15  0.7374E-03  0.2399E-02  0.1544E-08  0.1697E+00  0.2066E+00  0.5528E-01  0.4166E-01  0.4326E+00  0.7882E-01  0.2962E+05  0.2962E+05  0.2962E+05  0.8695E-03  0.1174E-01  0.8640E-10  0.2297E+01  0.1246E-08  0.9826E-02 -0.1273E-02 -0.8364E-03 -0.1122E-01 -0.1199E-02  0.1729E-01  0.1177E-02
    15  0.9800E+01 -0.2168E-15  0.7292E-03  0.2383E-02  0.1480E-08  0.1692E+00  0.2061E+00  0.5662E-01  0.3494E-01  0.4209E+00  0.2566E-01  0.2955E+05  0.2955E+05  0.2955E+05  0.8746E-03  0.1162E-01  0.8500E-10  0.2198E+01 -0.1169E-09  0.9885E-02 -0.1214E-02 -0.7227E-03 -0.9796E-02  0.4267E-03  0.1634E-01  0.1053E-02
    16  0.1050E+02 -0.1301E-14  0.7266E-03  0.2389E-02  0.1451E-08  0.1716E+00  0.2058E+00  0.5725E-01  0.5164E-01  0.4260E+00 -0.2501E-01  0.2952E+05  0.2952E+05  0.2952E+05  0.8704E-03  0.1141E-01  0.8577E-10  0.2072E+01 -0.9958E-09  0.9827E-02 -0.1330E-02 -0.7237E-03 -0.1175E-01 -0.1399E-02  0.1473E-01  0.1189E-02
    17  0.1120E+02 -0.2168E-15  0.7117E-03  0.2393E-02  0.1366E-08  0.1735E+00  0.2054E+00  0.5605E-01  0.5633E-01  0.4410E+00 -0.6009E-01  0.2945E+05  0.2945E+05  0.2945E+05  0.8566E-03  0.1097E-01  0.8755E-10  0.1931E+01 -0.2012E-08  0.9668E-02 -0.1157E-02 -0.8044E-03 -0.1025E-01  0.6621E-03  0.1279E-01  0.1093E-02
    18  0.1190E+02 -0.2168E-15  0.7002E-03  0.2379E-02  0.1292E-08  0.1785E+00  0.2052E+00  0.5630E-01  0.2619E-02  0.4628E+00 -0.7071E-01  0.2940E+05  0.2940E+05  0.2940E+05  0.8912E-03  0.1049E-01  0.8957E-10  0.1769E+01 -0.2502E-08  0.9409E-02 -0.1237E-02 -0.7389E-03 -0.1124E-01 -0.8241E-03  0.1407E-01  0.1233E-02
    19  0.1260E+02  0.8674E-15  0.6916E-03  0.2363E-02  0.1226E-08  0.1813E+00  0.2052E+00  0.6117E-01  0.5065E-02  0.4864E+00 -0.6084E-01  0.2932E+05  0.2932E+05  0.2932E+05  0.8658E-03  0.9981E-02  0.9151E-10  0.1576E+01 -0.2511E-08  0.9142E-02 -0.1316E-02 -0.7050E-03 -0.1190E-01 -0.3920E-03  0.1348E-01  0.1419E-02
