 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    0.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.5427E-03  0.1556E-02  0.3880E-02  0.9595E-08 -0.5586E-01  0.2267E+00  0.3175E+00 -0.2797E-01  0.4455E+00  0.3514E-02  0.1074E+06  0.1074E+06  0.1074E+06 -0.7302E-03  0.1353E-01  0.1045E-09  0.6779E+00  0.7014E-09  0.1309E-01 -0.1910E-01 -0.1374E-01 -0.3753E-01  0.7557E-02  0.4137E-01  0.1932E+00
     2  0.7000E+00  0.5178E-03  0.1555E-02  0.3843E-02  0.9459E-08 -0.5921E-01  0.2270E+00  0.2774E+00 -0.2183E+00  0.4557E+00 -0.2954E-01  0.1072E+06  0.1072E+06  0.1072E+06 -0.7508E-03  0.1336E-01  0.1052E-09  0.6955E+00  0.1146E-08  0.1290E-01 -0.1952E-01 -0.1322E-01 -0.4426E-01 -0.7407E-03  0.4415E-01  0.1992E+00
     3  0.1400E+01  0.5331E-03  0.1550E-02  0.3805E-02  0.9395E-08 -0.7075E-01  0.2272E+00  0.2235E+00 -0.1522E+00  0.4682E+00 -0.4295E-01  0.1070E+06  0.1070E+06  0.1070E+06 -0.5754E-03  0.1314E-01  0.1061E-09  0.7025E+00  0.1443E-08  0.1267E-01 -0.1890E-01 -0.1351E-01 -0.3328E-01  0.3869E-03  0.2932E-01  0.1992E+00
     4  0.2100E+01  0.5315E-03  0.1557E-02  0.3797E-02  0.9446E-08 -0.7804E-01  0.2273E+00  0.2197E+00  0.4091E-01  0.4849E+00 -0.4375E-01  0.1069E+06  0.1069E+06  0.1069E+06 -0.1215E-02  0.1294E-01  0.1081E-09  0.7035E+00  0.2013E-08  0.1245E-01 -0.1952E-01 -0.1359E-01 -0.3959E-01  0.8152E-03  0.4582E-01  0.2167E+00
     5  0.2800E+01  0.5193E-03  0.1559E-02  0.3762E-02  0.9510E-08 -0.8196E-01  0.2276E+00  0.2512E+00  0.9682E-01  0.4946E+00 -0.1426E-01  0.1068E+06  0.1068E+06  0.1068E+06 -0.7254E-03  0.1284E-01  0.1086E-09  0.7543E+00  0.2167E-08  0.1227E-01 -0.1923E-01 -0.1306E-01 -0.3519E-01  0.5648E-02  0.5333E-01  0.2113E+00
     6  0.3500E+01  0.5414E-03  0.1559E-02  0.3740E-02  0.9498E-08 -0.8280E-01  0.2277E+00  0.2672E+00  0.2437E-01  0.4989E+00  0.6289E-02  0.1067E+06  0.1067E+06  0.1067E+06 -0.1062E-02  0.1287E-01  0.1089E-09  0.8281E+00  0.2398E-08  0.1218E-01 -0.1928E-01 -0.1379E-01 -0.3868E-01 -0.3568E-02  0.5292E-01  0.2190E+00
     7  0.4200E+01  0.5163E-03  0.1550E-02  0.3729E-02  0.9459E-08 -0.9077E-01  0.2277E+00  0.2584E+00 -0.3825E-01  0.4951E+00  0.3515E-01  0.1066E+06  0.1066E+06  0.1066E+06 -0.1082E-02  0.1299E-01  0.1082E-09  0.8966E+00  0.2197E-08  0.1222E-01 -0.1959E-01 -0.1324E-01 -0.3273E-01  0.4884E-02  0.4040E-01  0.2128E+00
     8  0.4900E+01  0.5367E-03  0.1551E-02  0.3721E-02  0.9420E-08 -0.9032E-01  0.2278E+00  0.2477E+00 -0.3352E-01  0.4816E+00  0.5873E-01  0.1065E+06  0.1065E+06  0.1065E+06 -0.9028E-03  0.1324E-01  0.1064E-09  0.9316E+00  0.1755E-08  0.1239E-01 -0.1899E-01 -0.1335E-01 -0.3915E-01  0.4597E-02  0.4525E-01  0.1982E+00
     9  0.5600E+01  0.5270E-03  0.1536E-02  0.3708E-02  0.9271E-08 -0.9996E-01  0.2278E+00  0.2451E+00  0.3219E-02  0.4719E+00  0.5758E-01  0.1064E+06  0.1064E+06  0.1064E+06 -0.1257E-02  0.1341E-01  0.1050E-09  0.1001E+01  0.1502E-08  0.1250E-01 -0.1977E-01 -0.1371E-01 -0.3654E-01 -0.6229E-02  0.5020E-01  0.2075E+00
    10  0.6300E+01  0.5234E-03  0.1530E-02  0.3702E-02  0.9156E-08 -0.9946E-01  0.2279E+00  0.2522E+00  0.1890E-01  0.4567E+00  0.5811E-01  0.1062E+06  0.1062E+06  0.1062E+06 -0.1040E-02  0.1361E-01  0.1030E-09  0.1014E+01  0.1025E-08  0.1270E-01 -0.1898E-01 -0.1305E-01 -0.3382E-01  0.1150E-01  0.4122E-01  0.1848E+00
    11  0.7000E+01  0.5386E-03  0.1527E-02  0.3691E-02  0.9054E-08 -0.9765E-01  0.2281E+00  0.2567E+00  0.8874E-02  0.4474E+00  0.1558E-01  0.1061E+06  0.1061E+06  0.1061E+06 -0.1140E-02  0.1369E-01  0.1017E-09  0.9996E+00  0.7420E-09  0.1280E-01 -0.1969E-01 -0.1366E-01 -0.3921E-01 -0.3331E-02  0.5092E-01  0.1983E+00
    12  0.7700E+01  0.5171E-03  0.1518E-02  0.3659E-02  0.8910E-08 -0.1028E+00  0.2284E+00  0.2569E+00 -0.1131E-01  0.4517E+00 -0.7964E-02  0.1060E+06  0.1060E+06  0.1060E+06 -0.1136E-02  0.1358E-01  0.1016E-09  0.1008E+01  0.3067E-09  0.1269E-01 -0.1945E-01 -0.1336E-01 -0.3492E-01  0.2120E-02  0.4493E-01  0.1953E+00
    13  0.8400E+01  0.5376E-03  0.1515E-02  0.3645E-02  0.8815E-08 -0.9879E-01  0.2287E+00  0.2547E+00 -0.1596E-01  0.4600E+00 -0.3385E-01  0.1060E+06  0.1060E+06  0.1060E+06 -0.1093E-02  0.1345E-01  0.1023E-09  0.9935E+00 -0.2398E-09  0.1257E-01 -0.1928E-01 -0.1324E-01 -0.3364E-01  0.5169E-02  0.4181E-01  0.1962E+00
