 #NTuple/Z0                                                                     
  
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:   0.000000000000000E+000 /   100.000000000000     
    transverse cuts:   0.000000000000000E+000  0.000000000000000E+000
    longitudinal cut:   0.000000000000000E+000
    RF frequency (MHz):    704.000000000000     
    sigma cut:    4.00000000000000     
    subtract out amplitude correlation
    wrnew9 =  F
 
regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.4337E-15  0.5041E-03  0.2056E-02  0.5605E-09  0.2294E+00  0.2028E+00  0.5512E-01  0.5545E-01  0.4434E+00 -0.6005E-02  0.2710E+05  0.2710E+05  0.2710E+05  0.7981E-03  0.9579E-02  0.8201E-10  0.1958E+01  0.9490E-09  0.8840E-02 -0.9794E-03 -0.9586E-03 -0.1251E-01 -0.7971E-03  0.9003E-02  0.1198E-02
     2  0.6000E+00  0.1409E-14  0.5057E-03  0.2120E-02  0.5716E-09  0.2320E+00  0.2023E+00  0.3241E-01  0.1763E+00  0.4355E+00 -0.2153E-01  0.2712E+05  0.2712E+05  0.2712E+05  0.8396E-03  0.9661E-02  0.8277E-10  0.1810E+01  0.2386E-08  0.9044E-02 -0.1171E-02 -0.1001E-02 -0.1022E-01 -0.7115E-03  0.1615E-01  0.1511E-02
     3  0.1200E+01 -0.1409E-14  0.5166E-03  0.2137E-02  0.6069E-09  0.2303E+00  0.2031E+00  0.4005E-01 -0.1130E+00  0.4445E+00 -0.4209E-01  0.2708E+05  0.2708E+05  0.2708E+05  0.8196E-03  0.9588E-02  0.8415E-10  0.1649E+01  0.4953E-08  0.9019E-02 -0.1357E-02 -0.1042E-02 -0.8014E-02  0.1646E-03  0.4707E-02  0.1745E-02
     4  0.1800E+01  0.1409E-14  0.5161E-03  0.2133E-02  0.6110E-09  0.2325E+00  0.2038E+00  0.4300E-01  0.5540E-01  0.4578E+00 -0.4053E-01  0.2705E+05  0.2705E+05  0.2705E+05  0.8187E-03  0.9553E-02  0.8532E-10  0.1789E+01  0.5946E-08  0.8900E-02 -0.1106E-02 -0.9945E-03 -0.9706E-02 -0.5223E-03  0.1714E-01  0.1490E-02
     5  0.2400E+01  0.1409E-14  0.5107E-03  0.2153E-02  0.6053E-09  0.2384E+00  0.2044E+00  0.4029E-01  0.8362E-01  0.4660E+00 -0.3936E-01  0.2700E+05  0.2700E+05  0.2700E+05  0.8665E-03  0.9582E-02  0.8665E-10  0.1884E+01  0.7277E-08  0.8880E-02 -0.1180E-02 -0.9814E-03 -0.1152E-01  0.1165E-03  0.1565E-01  0.1549E-02
     6  0.3000E+01  0.1518E-14  0.5129E-03  0.2154E-02  0.6185E-09  0.2390E+00  0.2050E+00  0.3896E-01  0.4430E-01  0.4754E+00 -0.2662E-01  0.2697E+05  0.2697E+05  0.2697E+05  0.8492E-03  0.9589E-02  0.8762E-10  0.1947E+01  0.8106E-08  0.8809E-02 -0.1390E-02 -0.1036E-02 -0.9856E-02 -0.4185E-03  0.1286E-01  0.1908E-02
     7  0.3600E+01 -0.2168E-15  0.5123E-03  0.2134E-02  0.6246E-09  0.2408E+00  0.2057E+00  0.3999E-01  0.4071E-01  0.4834E+00  0.8570E-02  0.2693E+05  0.2693E+05  0.2693E+05  0.8544E-03  0.9663E-02  0.8766E-10  0.2132E+01  0.7832E-08  0.8714E-02 -0.1252E-02 -0.1008E-02 -0.8321E-02 -0.5245E-03  0.1451E-01  0.1659E-02
     8  0.4200E+01 -0.1193E-14  0.5106E-03  0.2138E-02  0.6234E-09  0.2428E+00  0.2063E+00  0.3951E-01  0.5690E-01  0.4803E+00  0.3724E-01  0.2689E+05  0.2689E+05  0.2689E+05  0.8695E-03  0.9828E-02  0.8735E-10  0.2259E+01  0.7976E-08  0.8775E-02 -0.1302E-02 -0.9969E-03 -0.9723E-02  0.1989E-03  0.1468E-01  0.1677E-02
     9  0.4800E+01  0.1193E-14  0.5083E-03  0.2149E-02  0.6245E-09  0.2475E+00  0.2069E+00  0.3857E-01  0.3997E-01  0.4668E+00  0.5494E-01  0.2686E+05  0.2686E+05  0.2686E+05  0.8760E-03  0.1010E-01  0.8629E-10  0.2382E+01  0.8173E-08  0.8946E-02 -0.1410E-02 -0.1031E-02 -0.1053E-01 -0.6456E-03  0.1502E-01  0.1798E-02
    10  0.5400E+01  0.4337E-15  0.5025E-03  0.2153E-02  0.6186E-09  0.2508E+00  0.2073E+00  0.3896E-01  0.3704E-01  0.4525E+00  0.6711E-01  0.2681E+05  0.2681E+05  0.2681E+05  0.8759E-03  0.1036E-01  0.8483E-10  0.2539E+01  0.7914E-08  0.9115E-02 -0.1320E-02 -0.1011E-02 -0.8082E-02 -0.2941E-04  0.1407E-01  0.1565E-02
    11  0.6000E+01  0.1084E-14  0.5005E-03  0.2166E-02  0.6164E-09  0.2552E+00  0.2075E+00  0.3850E-01  0.5116E-01  0.4374E+00  0.6476E-01  0.2678E+05  0.2678E+05  0.2678E+05  0.8955E-03  0.1062E-01  0.8344E-10  0.2639E+01  0.7405E-08  0.9305E-02 -0.1404E-02 -0.1017E-02 -0.9329E-02 -0.4195E-03  0.1442E-01  0.1619E-02
    12  0.6600E+01 -0.8674E-15  0.4948E-03  0.2171E-02  0.6020E-09  0.2587E+00  0.2076E+00  0.3808E-01  0.4386E-01  0.4243E+00  0.4786E-01  0.2672E+05  0.2672E+05  0.2672E+05  0.8791E-03  0.1079E-01  0.8201E-10  0.2727E+01  0.6630E-08  0.9453E-02 -0.1394E-02 -0.1027E-02 -0.1005E-01 -0.9562E-04  0.1375E-01  0.1563E-02
    13  0.7200E+01  0.9758E-15  0.4931E-03  0.2169E-02  0.6018E-09  0.2598E+00  0.2075E+00  0.3814E-01  0.4617E-01  0.4187E+00  0.2714E-01  0.2666E+05  0.2666E+05  0.2666E+05  0.9027E-03  0.1089E-01  0.8117E-10  0.2801E+01  0.5545E-08  0.9501E-02 -0.1325E-02 -0.1018E-02 -0.8446E-02 -0.6234E-03  0.1303E-01  0.1427E-02
    14  0.7800E+01 -0.4337E-15  0.4957E-03  0.2166E-02  0.6094E-09  0.2617E+00  0.2073E+00  0.3740E-01  0.5036E-01  0.4189E+00  0.7917E-02  0.2662E+05  0.2662E+05  0.2662E+05  0.9011E-03  0.1097E-01  0.8096E-10  0.2837E+01  0.4356E-08  0.9482E-02 -0.1425E-02 -0.9989E-03 -0.1003E-01 -0.4010E-03  0.1306E-01  0.1516E-02
    15  0.8400E+01  0.5421E-15  0.4896E-03  0.2155E-02  0.5941E-09  0.2646E+00  0.2069E+00  0.3739E-01  0.3304E-01  0.4223E+00 -0.1207E-01  0.2655E+05  0.2655E+05  0.2655E+05  0.8908E-03  0.1089E-01  0.8099E-10  0.2867E+01  0.3342E-08  0.9407E-02 -0.1318E-02 -0.1030E-02 -0.8111E-02 -0.7674E-04  0.1262E-01  0.1419E-02
    16  0.9000E+01  0.6505E-15  0.4887E-03  0.2149E-02  0.5920E-09  0.2679E+00  0.2065E+00  0.3802E-01  0.2065E-01  0.4306E+00 -0.2043E-01  0.2651E+05  0.2651E+05  0.2651E+05  0.9241E-03  0.1082E-01  0.8167E-10  0.2889E+01  0.2442E-08  0.9292E-02 -0.1330E-02 -0.1016E-02 -0.9327E-02  0.1488E-03  0.1368E-01  0.1444E-02
    17  0.9600E+01  0.3253E-15  0.4811E-03  0.2144E-02  0.5644E-09  0.2706E+00  0.2060E+00  0.3874E-01  0.2492E-01  0.4368E+00 -0.2184E-01  0.2642E+05  0.2642E+05  0.2642E+05  0.8971E-03  0.1059E-01  0.8219E-10  0.2827E+01  0.1102E-08  0.9201E-02 -0.1346E-02 -0.9918E-03 -0.9512E-02 -0.7372E-03  0.1354E-01  0.1496E-02
    18  0.1020E+02  0.8674E-15  0.4758E-03  0.2144E-02  0.5472E-09  0.2762E+00  0.2055E+00  0.3858E-01  0.1994E-01  0.4414E+00 -0.1713E-01  0.2638E+05  0.2638E+05  0.2638E+05  0.9125E-03  0.1040E-01  0.8274E-10  0.2711E+01  0.5821E-10  0.9135E-02 -0.1249E-02 -0.1011E-02 -0.9339E-02 -0.7735E-03  0.1399E-01  0.1433E-02
    19  0.1080E+02  0.4337E-15  0.4705E-03  0.2140E-02  0.5294E-09  0.2780E+00  0.2051E+00  0.3922E-01  0.7841E-03  0.4444E+00 -0.8492E-02  0.2634E+05  0.2634E+05  0.2634E+05  0.9112E-03  0.1025E-01  0.8306E-10  0.2618E+01 -0.6248E-09  0.9081E-02 -0.1283E-02 -0.1024E-02 -0.9139E-02  0.8938E-03  0.1394E-01  0.1528E-02
    20  0.1140E+02  0.9758E-15  0.4668E-03  0.2147E-02  0.5157E-09  0.2816E+00  0.2048E+00  0.4034E-01  0.2324E-01  0.4447E+00 -0.7957E-03  0.2629E+05  0.2629E+05  0.2629E+05  0.9157E-03  0.1011E-01  0.8332E-10  0.2469E+01 -0.8601E-09  0.9082E-02 -0.1314E-02 -0.1015E-02 -0.8721E-02 -0.9685E-03  0.1336E-01  0.1595E-02
    21  0.1200E+02  0.6505E-15  0.4615E-03  0.2149E-02  0.4936E-09  0.2850E+00  0.2045E+00  0.3970E-01  0.3925E-01  0.4419E+00  0.1262E-02  0.2625E+05  0.2625E+05  0.2625E+05  0.9059E-03  0.9950E-02  0.8320E-10  0.2278E+01 -0.1288E-08  0.9106E-02 -0.1200E-02 -0.9669E-03 -0.1109E-01 -0.1359E-03  0.1350E-01  0.1426E-02
    22  0.1260E+02 -0.6505E-15  0.4602E-03  0.2156E-02  0.4912E-09  0.2886E+00  0.2044E+00  0.3945E-01 -0.1777E-02  0.4409E+00  0.1531E-02  0.2625E+05  0.2625E+05  0.2625E+05  0.9292E-03  0.9938E-02  0.8324E-10  0.2215E+01 -0.5582E-09  0.9130E-02 -0.1216E-02 -0.1035E-02 -0.1005E-01 -0.2040E-03  0.1271E-01  0.1518E-02
    23  0.1320E+02  0.9758E-15  0.4565E-03  0.2145E-02  0.4777E-09  0.2918E+00  0.2045E+00  0.4149E-01  0.2675E-01  0.4435E+00  0.7557E-03  0.2620E+05  0.2620E+05  0.2620E+05  0.9362E-03  0.9784E-02  0.8324E-10  0.2091E+01 -0.2136E-09  0.9081E-02 -0.1344E-02 -0.1013E-02 -0.8771E-02  0.1047E-03  0.1173E-01  0.1712E-02
    24  0.1380E+02  0.1193E-14  0.4552E-03  0.2142E-02  0.4710E-09  0.2933E+00  0.2047E+00  0.3987E-01  0.5917E-01  0.4438E+00  0.7415E-03  0.2618E+05  0.2618E+05  0.2618E+05  0.9136E-03  0.9743E-02  0.8318E-10  0.2032E+01  0.6547E-09  0.9078E-02 -0.1231E-02 -0.9857E-03 -0.1002E-01 -0.4830E-03  0.1240E-01  0.1539E-02
    25  0.1440E+02  0.8674E-15  0.4530E-03  0.2143E-02  0.4640E-09  0.2965E+00  0.2050E+00  0.3981E-01  0.2288E-01  0.4447E+00 -0.4869E-02  0.2614E+05  0.2614E+05  0.2614E+05  0.9451E-03  0.9705E-02  0.8321E-10  0.1992E+01  0.1456E-08  0.9080E-02 -0.1214E-02 -0.1027E-02 -0.1102E-01 -0.1268E-04  0.1043E-01  0.1554E-02
    26  0.1500E+02 -0.1301E-14  0.4518E-03  0.2136E-02  0.4625E-09  0.2978E+00  0.2054E+00  0.4049E-01  0.3223E-01  0.4475E+00 -0.8430E-02  0.2612E+05  0.2612E+05  0.2612E+05  0.9480E-03  0.9681E-02  0.8329E-10  0.1972E+01  0.2603E-08  0.9053E-02 -0.1375E-02 -0.1009E-02 -0.9237E-02 -0.4286E-03  0.1093E-01  0.1785E-02
    27  0.1560E+02 -0.1626E-14  0.4482E-03  0.2131E-02  0.4546E-09  0.3015E+00  0.2059E+00  0.4034E-01  0.4581E-01  0.4525E+00 -0.1168E-01  0.2608E+05  0.2608E+05  0.2608E+05  0.9289E-03  0.9621E-02  0.8364E-10  0.1963E+01  0.3717E-08  0.9008E-02 -0.1317E-02 -0.9969E-03 -0.9158E-02 -0.6670E-03  0.1145E-01  0.1716E-02
    28  0.1620E+02  0.3253E-15  0.4446E-03  0.2127E-02  0.4452E-09  0.3033E+00  0.2065E+00  0.4010E-01  0.4135E-01  0.4591E+00 -0.1228E-01  0.2604E+05  0.2604E+05  0.2604E+05  0.9432E-03  0.9565E-02  0.8413E-10  0.1983E+01  0.4583E-08  0.8951E-02 -0.1286E-02 -0.1039E-02 -0.1101E-01  0.6299E-03  0.1114E-01  0.1741E-02
    29  0.1680E+02 -0.1084E-14  0.4442E-03  0.2132E-02  0.4502E-09  0.3059E+00  0.2070E+00  0.4010E-01  0.3676E-01  0.4615E+00 -0.2009E-02  0.2602E+05  0.2602E+05  0.2602E+05  0.9622E-03  0.9637E-02  0.8451E-10  0.2078E+01  0.5888E-08  0.8953E-02 -0.1422E-02 -0.1013E-02 -0.1010E-01 -0.7995E-03  0.1187E-01  0.1917E-02
    30  0.1740E+02 -0.8674E-15  0.4409E-03  0.2127E-02  0.4465E-09  0.3102E+00  0.2075E+00  0.4006E-01  0.4621E-01  0.4628E+00  0.9768E-02  0.2598E+05  0.2598E+05  0.2598E+05  0.9426E-03  0.9679E-02  0.8449E-10  0.2177E+01  0.6387E-08  0.8948E-02 -0.1388E-02 -0.9968E-03 -0.8659E-02 -0.2982E-03  0.1168E-01  0.1826E-02
    31  0.1800E+02  0.7589E-15  0.4423E-03  0.2126E-02  0.4528E-09  0.3104E+00  0.2080E+00  0.3959E-01  0.5227E-01  0.4613E+00  0.2265E-01  0.2596E+05  0.2596E+05  0.2596E+05  0.9612E-03  0.9815E-02  0.8433E-10  0.2295E+01  0.6797E-08  0.8974E-02 -0.1385E-02 -0.1049E-02 -0.9945E-02 -0.2198E-03  0.1266E-01  0.1853E-02
    32  0.1860E+02  0.0000E+00  0.4407E-03  0.2124E-02  0.4524E-09  0.3124E+00  0.2083E+00  0.3934E-01  0.5093E-01  0.4561E+00  0.3325E-01  0.2591E+05  0.2591E+05  0.2591E+05  0.9639E-03  0.9944E-02  0.8382E-10  0.2419E+01  0.7164E-08  0.9036E-02 -0.1450E-02 -0.1007E-02 -0.9608E-02  0.4211E-03  0.1197E-01  0.1859E-02
    33  0.1920E+02 -0.1626E-14  0.4388E-03  0.2121E-02  0.4505E-09  0.3105E+00  0.2085E+00  0.3864E-01  0.5115E-01  0.4506E+00  0.4119E-01  0.2587E+05  0.2587E+05  0.2587E+05  0.9443E-03  0.1008E-01  0.8317E-10  0.2545E+01  0.7047E-08  0.9093E-02 -0.1428E-02 -0.1028E-02 -0.9265E-02 -0.8585E-03  0.1182E-01  0.1801E-02
    34  0.1980E+02  0.2168E-15  0.4370E-03  0.2126E-02  0.4492E-09  0.3126E+00  0.2086E+00  0.3851E-01  0.4005E-01  0.4431E+00  0.4502E-01  0.2584E+05  0.2584E+05  0.2584E+05  0.9580E-03  0.1023E-01  0.8251E-10  0.2638E+01  0.6908E-08  0.9185E-02 -0.1434E-02 -0.1023E-02 -0.9983E-02  0.8854E-04  0.1196E-01  0.1758E-02
    35  0.2040E+02  0.1409E-14  0.4347E-03  0.2121E-02  0.4467E-09  0.3124E+00  0.2086E+00  0.3858E-01  0.4423E-01  0.4354E+00  0.3939E-01  0.2579E+05  0.2579E+05  0.2579E+05  0.9450E-03  0.1037E-01  0.8162E-10  0.2758E+01  0.6567E-08  0.9252E-02 -0.1448E-02 -0.1022E-02 -0.8674E-02 -0.8479E-03  0.1209E-01  0.1735E-02
    36  0.2100E+02 -0.8674E-15  0.4345E-03  0.2116E-02  0.4475E-09  0.3154E+00  0.2085E+00  0.3822E-01  0.4701E-01  0.4296E+00  0.2932E-01  0.2576E+05  0.2576E+05  0.2576E+05  0.9517E-03  0.1050E-01  0.8087E-10  0.2860E+01  0.5805E-08  0.9298E-02 -0.1437E-02 -0.1019E-02 -0.9789E-02  0.3669E-03  0.1187E-01  0.1671E-02
    37  0.2160E+02 -0.7589E-15  0.4328E-03  0.2109E-02  0.4445E-09  0.3143E+00  0.2083E+00  0.3794E-01  0.4354E-01  0.4281E+00  0.1691E-01  0.2571E+05  0.2571E+05  0.2571E+05  0.9450E-03  0.1055E-01  0.8056E-10  0.2935E+01  0.5336E-08  0.9287E-02 -0.1398E-02 -0.1037E-02 -0.9379E-02 -0.3998E-03  0.1218E-01  0.1618E-02
    38  0.2220E+02 -0.1193E-14  0.4308E-03  0.2098E-02  0.4397E-09  0.3167E+00  0.2080E+00  0.3816E-01  0.3326E-01  0.4287E+00  0.7481E-02  0.2566E+05  0.2566E+05  0.2566E+05  0.9637E-03  0.1052E-01  0.8038E-10  0.2941E+01  0.4680E-08  0.9245E-02 -0.1424E-02 -0.1013E-02 -0.9002E-02 -0.4699E-03  0.1196E-01  0.1634E-02
    39  0.2280E+02  0.7589E-15  0.4291E-03  0.2087E-02  0.4346E-09  0.3136E+00  0.2076E+00  0.3821E-01  0.3976E-01  0.4315E+00  0.3069E-02  0.2562E+05  0.2562E+05  0.2562E+05  0.9248E-03  0.1049E-01  0.8035E-10  0.2997E+01  0.3568E-08  0.9182E-02 -0.1415E-02 -0.1008E-02 -0.9072E-02 -0.3966E-03  0.1154E-01  0.1619E-02
    40  0.2340E+02 -0.3253E-15  0.4305E-03  0.2084E-02  0.4390E-09  0.3150E+00  0.2073E+00  0.3776E-01  0.3506E-01  0.4349E+00  0.2561E-02  0.2560E+05  0.2560E+05  0.2560E+05  0.9422E-03  0.1050E-01  0.8063E-10  0.3005E+01  0.2972E-08  0.9128E-02 -0.1352E-02 -0.1036E-02 -0.9582E-02 -0.4860E-03  0.1180E-01  0.1556E-02
    41  0.2400E+02 -0.5421E-15  0.4260E-03  0.2078E-02  0.4261E-09  0.3148E+00  0.2070E+00  0.3808E-01  0.1957E-01  0.4376E+00  0.6168E-02  0.2554E+05  0.2554E+05  0.2554E+05  0.9399E-03  0.1038E-01  0.8074E-10  0.2958E+01  0.1938E-08  0.9076E-02 -0.1364E-02 -0.1007E-02 -0.9220E-02  0.6217E-03  0.1135E-01  0.1568E-02
    42  0.2460E+02 -0.1518E-14  0.4212E-03  0.2071E-02  0.4121E-09  0.3171E+00  0.2068E+00  0.3883E-01  0.2336E-01  0.4383E+00  0.9034E-02  0.2548E+05  0.2548E+05  0.2548E+05  0.9299E-03  0.1025E-01  0.8070E-10  0.2881E+01  0.1196E-08  0.9047E-02 -0.1394E-02 -0.1034E-02 -0.8704E-02 -0.6019E-03  0.1171E-01  0.1677E-02
    43  0.2520E+02 -0.1301E-14  0.4177E-03  0.2062E-02  0.3984E-09  0.3193E+00  0.2066E+00  0.3933E-01  0.3391E-01  0.4401E+00  0.1162E-01  0.2542E+05  0.2542E+05  0.2542E+05  0.9275E-03  0.1011E-01  0.8072E-10  0.2787E+01  0.5810E-09  0.9004E-02 -0.1333E-02 -0.1002E-02 -0.9712E-02 -0.8707E-03  0.1211E-01  0.1600E-02
    44  0.2580E+02 -0.1084E-15  0.4144E-03  0.2056E-02  0.3868E-09  0.3200E+00  0.2065E+00  0.3928E-01  0.3799E-01  0.4387E+00  0.1328E-01  0.2536E+05  0.2536E+05  0.2536E+05  0.9228E-03  0.9988E-02  0.8050E-10  0.2653E+01  0.3027E-09  0.9002E-02 -0.1324E-02 -0.9984E-03 -0.9960E-02  0.8002E-05  0.1101E-01  0.1607E-02
    45  0.2640E+02 -0.8674E-15  0.4109E-03  0.2052E-02  0.3766E-09  0.3218E+00  0.2065E+00  0.3926E-01  0.2566E-01  0.4384E+00  0.1025E-01  0.2532E+05  0.2532E+05  0.2532E+05  0.9222E-03  0.9895E-02  0.8037E-10  0.2552E+01  0.4538E-09  0.8997E-02 -0.1393E-02 -0.1056E-02 -0.9449E-02  0.1823E-04  0.1076E-01  0.1803E-02
    46  0.2700E+02  0.0000E+00  0.4094E-03  0.2040E-02  0.3695E-09  0.3228E+00  0.2067E+00  0.4004E-01  0.3937E-01  0.4396E+00  0.9795E-02  0.2528E+05  0.2528E+05  0.2528E+05  0.9234E-03  0.9799E-02  0.8021E-10  0.2451E+01  0.4839E-09  0.8963E-02 -0.1359E-02 -0.1004E-02 -0.9296E-02 -0.7034E-03  0.1007E-01  0.1717E-02
    47  0.2760E+02 -0.4337E-15  0.4081E-03  0.2041E-02  0.3635E-09  0.3238E+00  0.2069E+00  0.3941E-01  0.4058E-01  0.4390E+00  0.4351E-02  0.2524E+05  0.2524E+05  0.2524E+05  0.9160E-03  0.9727E-02  0.8012E-10  0.2331E+01  0.9434E-09  0.8979E-02 -0.1341E-02 -0.9894E-03 -0.1034E-01  0.1079E-04  0.1025E-01  0.1701E-02
    48  0.2820E+02  0.4337E-15  0.4039E-03  0.2035E-02  0.3528E-09  0.3249E+00  0.2072E+00  0.3979E-01  0.2906E-01  0.4398E+00  0.2076E-03  0.2518E+05  0.2518E+05  0.2518E+05  0.9170E-03  0.9637E-02  0.8003E-10  0.2245E+01  0.1650E-08  0.8968E-02 -0.1411E-02 -0.1070E-02 -0.9606E-02 -0.1456E-03  0.9181E-02  0.1935E-02
    49  0.2880E+02  0.9758E-15  0.4023E-03  0.2031E-02  0.3487E-09  0.3251E+00  0.2077E+00  0.4011E-01  0.4157E-01  0.4435E+00 -0.1988E-02  0.2516E+05  0.2516E+05  0.2516E+05  0.9164E-03  0.9577E-02  0.8022E-10  0.2204E+01  0.2435E-08  0.8934E-02 -0.1423E-02 -0.9980E-03 -0.9624E-02 -0.6031E-03  0.9636E-02  0.1898E-02
    50  0.2940E+02 -0.1193E-14  0.4015E-03  0.2032E-02  0.3477E-09  0.3263E+00  0.2081E+00  0.3982E-01  0.4721E-01  0.4461E+00 -0.3741E-02  0.2512E+05  0.2512E+05  0.2512E+05  0.9045E-03  0.9562E-02  0.8045E-10  0.2198E+01  0.3477E-08  0.8923E-02 -0.1384E-02 -0.1002E-02 -0.9715E-02 -0.7307E-03  0.9506E-02  0.1847E-02
    51  0.3000E+02  0.1301E-14  0.3985E-03  0.2030E-02  0.3409E-09  0.3294E+00  0.2085E+00  0.3956E-01  0.4403E-01  0.4479E+00 -0.1713E-02  0.2506E+05  0.2506E+05  0.2506E+05  0.9206E-03  0.9515E-02  0.8057E-10  0.2162E+01  0.4343E-08  0.8912E-02 -0.1466E-02 -0.1064E-02 -0.1041E-01  0.3579E-03  0.9246E-02  0.2087E-02
