 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    14  0.1040E+02  0.8674E-15  0.1010E-02  0.2317E-02  0.2550E-08  0.9261E-01  0.2017E+00  0.9606E-01  0.5960E-01  0.3961E+00  0.6856E-01  0.3318E+05  0.3318E+05  0.3318E+05  0.6570E-03  0.1074E-01  0.8271E-10  0.1149E+01 -0.1317E-08  0.9914E-02 -0.1500E-02 -0.6071E-03 -0.1625E-01 -0.3135E-02  0.1599E-01  0.1563E-02
    15  0.1120E+02  0.1735E-14  0.9978E-03  0.2314E-02  0.2445E-08  0.9574E-01  0.2013E+00  0.9710E-01  0.1658E-01  0.4058E+00 -0.8843E-01  0.3312E+05  0.3312E+05  0.3312E+05  0.6703E-03  0.1051E-01  0.8369E-10  0.1086E+01 -0.8738E-09  0.9791E-02 -0.1548E-02 -0.6227E-03 -0.1869E-01  0.1713E-02  0.1742E-01  0.1725E-02
    16  0.1200E+02 -0.1735E-14  0.9961E-03  0.2292E-02  0.2425E-08  0.9346E-01  0.2011E+00  0.1044E+00  0.1081E-01  0.4637E+00 -0.1997E+00  0.3309E+05  0.3309E+05  0.3309E+05  0.6534E-03  0.9954E-02  0.8906E-10  0.1055E+01 -0.1894E-09  0.9249E-02 -0.1301E-02 -0.6532E-03 -0.2259E-01 -0.1790E-02  0.1602E-01  0.1522E-02
    17  0.1280E+02  0.0000E+00  0.9856E-03  0.2289E-02  0.2400E-08  0.9839E-01  0.2007E+00  0.1072E+00  0.8212E-01  0.5422E+00 -0.2052E+00  0.3304E+05  0.3304E+05  0.3304E+05  0.6906E-03  0.9218E-02  0.9635E-10  0.1001E+01  0.3572E-09  0.8548E-02 -0.1526E-02 -0.5283E-03 -0.1129E-01 -0.1114E-02  0.1550E-01  0.1999E-02
    18  0.1360E+02 -0.4337E-15  0.9768E-03  0.2290E-02  0.2355E-08  0.9923E-01  0.2003E+00  0.1005E+00  0.1112E+00  0.6005E+00 -0.1086E+00  0.3300E+05  0.3300E+05  0.3300E+05  0.6636E-03  0.8670E-02  0.1016E-09  0.9837E+00  0.1039E-08  0.7994E-02 -0.1470E-02 -0.6650E-03 -0.2241E-01  0.1391E-02  0.2474E-01  0.2401E-02
    19  0.1440E+02  0.1301E-14  0.9671E-03  0.2300E-02  0.2322E-08  0.1007E+00  0.2001E+00  0.9635E-01  0.3933E-01  0.6097E+00  0.2959E-01  0.3296E+05  0.3296E+05  0.3296E+05  0.6989E-03  0.8585E-02  0.1028E-09  0.1003E+01  0.1711E-08  0.7901E-02 -0.1184E-02 -0.6381E-03 -0.1865E-01 -0.5517E-03  0.2365E-01  0.1876E-02
    20  0.1520E+02  0.0000E+00  0.9590E-03  0.2303E-02  0.2276E-08  0.1034E+00  0.2001E+00  0.1025E+00 -0.7393E-03  0.5723E+00  0.1390E+00  0.3290E+05  0.3290E+05  0.3290E+05  0.6957E-03  0.8893E-02  0.9981E-10  0.1024E+01  0.2287E-08  0.8235E-02 -0.1665E-02 -0.5085E-03 -0.1724E-01 -0.1045E-02  0.1824E-01  0.2471E-02
    21  0.1600E+02 -0.1735E-14  0.9528E-03  0.2303E-02  0.2231E-08  0.1064E+00  0.2002E+00  0.1065E+00  0.4510E-01  0.5063E+00  0.1667E+00  0.3284E+05  0.3284E+05  0.3284E+05  0.7017E-03  0.9449E-02  0.9401E-10  0.1059E+01  0.2794E-08  0.8796E-02 -0.1230E-02 -0.7165E-03 -0.1885E-01 -0.5660E-03  0.2144E-01  0.1677E-02
    22  0.1680E+02  0.1301E-14  0.9425E-03  0.2307E-02  0.2174E-08  0.1088E+00  0.2004E+00  0.1039E+00  0.7669E-01  0.4521E+00  0.1010E+00  0.3280E+05  0.3280E+05  0.3280E+05  0.7390E-03  0.9896E-02  0.8892E-10  0.1106E+01  0.2963E-08  0.9242E-02 -0.1429E-02 -0.5431E-03 -0.2207E-01  0.6117E-03  0.2552E-01  0.1818E-02
    23  0.1760E+02 -0.8674E-15  0.9307E-03  0.2311E-02  0.2143E-08  0.1114E+00  0.2008E+00  0.1015E+00  0.6687E-01  0.4377E+00 -0.1185E-01  0.3276E+05  0.3276E+05  0.3276E+05  0.7157E-03  0.1004E-01  0.8753E-10  0.1154E+01  0.3191E-08  0.9368E-02 -0.1573E-02 -0.6034E-03 -0.1702E-01 -0.1674E-02  0.2326E-01  0.2015E-02
    24  0.1840E+02  0.1735E-14  0.9272E-03  0.2313E-02  0.2152E-08  0.1130E+00  0.2012E+00  0.1018E+00  0.6407E-01  0.4665E+00 -0.1020E+00  0.3275E+05  0.3275E+05  0.3275E+05  0.7456E-03  0.9881E-02  0.9020E-10  0.1203E+01  0.3082E-08  0.9138E-02 -0.1336E-02 -0.6857E-03 -0.1946E-01  0.6872E-03  0.2240E-01  0.1736E-02
