 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.3642E-03  0.2035E-02  0.2718E-09  0.1267E+00  0.2073E+00  0.4998E-01  0.4894E-01  0.4841E+00  0.1396E-01  0.2252E+05  0.2252E+05  0.2252E+05  0.3120E-03  0.8684E-02  0.8409E-10  0.1424E+01  0.5055E-08  0.8549E-02 -0.1237E-02 -0.1712E-02 -0.1154E-01  0.6245E-03  0.4234E-02  0.3264E-02
     2  0.7800E+00  0.0000E+00  0.3546E-03  0.2040E-02  0.2574E-09  0.1215E+00  0.2065E+00  0.3608E-01  0.1884E+00  0.4852E+00 -0.2456E-01  0.2221E+05  0.2221E+05  0.2221E+05  0.3561E-03  0.8635E-02  0.8465E-10  0.1343E+01  0.7183E-08  0.8527E-02 -0.1577E-02 -0.1763E-02 -0.9210E-02 -0.4305E-04  0.8481E-02  0.4150E-02
     3  0.1560E+01  0.0000E+00  0.3536E-03  0.2026E-02  0.2580E-09  0.1150E+00  0.2055E+00  0.3619E-01 -0.4883E-01  0.4995E+00 -0.4352E-01  0.2187E+05  0.2187E+05  0.2187E+05  0.2300E-03  0.8473E-02  0.8608E-10  0.1409E+01  0.9447E-08  0.8353E-02 -0.1602E-02 -0.1749E-02 -0.3991E-02  0.4393E-03 -0.1951E-02  0.4194E-02
     4  0.2340E+01  0.0000E+00  0.3491E-03  0.2013E-02  0.2498E-09  0.1147E+00  0.2042E+00  0.4010E-01 -0.9094E-02  0.5147E+00 -0.3545E-01  0.2161E+05  0.2161E+05  0.2161E+05  0.2538E-03  0.8327E-02  0.8746E-10  0.1665E+01  0.9651E-08  0.8164E-02 -0.1271E-02 -0.1723E-02 -0.8183E-02 -0.1063E-02  0.5229E-02  0.3566E-02
     5  0.3120E+01  0.0000E+00  0.3417E-03  0.2020E-02  0.2392E-09  0.1156E+00  0.2027E+00  0.3941E-01  0.5431E-02  0.5190E+00 -0.2058E-01  0.2148E+05  0.2148E+05  0.2148E+05  0.2928E-03  0.8270E-02  0.8858E-10  0.1753E+01  0.1125E-07  0.8098E-02 -0.1374E-02 -0.1741E-02 -0.1103E-01  0.5405E-03  0.8301E-02  0.3860E-02
     6  0.3900E+01  0.0000E+00  0.3359E-03  0.2023E-02  0.2336E-09  0.1148E+00  0.2011E+00  0.3960E-01 -0.7915E-03  0.5178E+00 -0.1611E-02  0.2137E+05  0.2137E+05  0.2137E+05  0.2483E-03  0.8256E-02  0.8909E-10  0.1878E+01  0.1195E-07  0.8066E-02 -0.1407E-02 -0.1765E-02 -0.7463E-02  0.8031E-03  0.6709E-02  0.3945E-02
     7  0.4680E+01  0.0000E+00  0.3335E-03  0.2019E-02  0.2307E-09  0.1140E+00  0.1996E+00  0.3886E-01  0.1015E-01  0.5111E+00  0.1467E-01  0.2130E+05  0.2130E+05  0.2130E+05  0.2424E-03  0.8306E-02  0.8867E-10  0.2127E+01  0.9717E-08  0.8069E-02 -0.1206E-02 -0.1738E-02 -0.7586E-02 -0.1419E-03  0.8160E-02  0.3408E-02
     8  0.5460E+01  0.0000E+00  0.3316E-03  0.2023E-02  0.2276E-09  0.1142E+00  0.1984E+00  0.3899E-01  0.2514E-02  0.5030E+00  0.1428E-01  0.2122E+05  0.2122E+05  0.2122E+05  0.2713E-03  0.8356E-02  0.8825E-10  0.2205E+01  0.7472E-08  0.8104E-02 -0.1198E-02 -0.1720E-02 -0.8892E-02 -0.1171E-02  0.9702E-02  0.3288E-02
     9  0.6240E+01  0.0000E+00  0.3296E-03  0.2020E-02  0.2247E-09  0.1161E+00  0.1976E+00  0.3876E-01  0.1957E-01  0.4988E+00  0.1717E-02  0.2115E+05  0.2115E+05  0.2115E+05  0.2508E-03  0.8377E-02  0.8795E-10  0.2304E+01  0.5484E-08  0.8106E-02 -0.1251E-02 -0.1716E-02 -0.9433E-02  0.5187E-03  0.9846E-02  0.3339E-02
    10  0.7020E+01  0.0000E+00  0.3271E-03  0.2014E-02  0.2213E-09  0.1150E+00  0.1972E+00  0.3866E-01  0.1844E-01  0.5009E+00 -0.1481E-01  0.2107E+05  0.2107E+05  0.2107E+05  0.2306E-03  0.8338E-02  0.8801E-10  0.2297E+01  0.3007E-08  0.8069E-02 -0.1157E-02 -0.1776E-02 -0.7634E-02  0.2814E-03  0.9289E-02  0.3343E-02
