 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    1056.0000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00 -0.1193E-14  0.3549E-03  0.2075E-02  0.2734E-09  0.2819E+00  0.2039E+00  0.4104E-01  0.3929E-01  0.4221E+00  0.3836E-02  0.2421E+05  0.2421E+05  0.2421E+05  0.6935E-03  0.9669E-02  0.8064E-10  0.2486E+01  0.7737E-08  0.9137E-02 -0.9597E-03 -0.9905E-03 -0.1153E-01 -0.9565E-03  0.1106E-01  0.1180E-02
     2  0.6000E+00  0.1626E-14  0.3513E-03  0.2097E-02  0.2685E-09  0.2705E+00  0.2028E+00  0.2593E-01  0.1619E+00  0.4132E+00 -0.5585E-02  0.2406E+05  0.2406E+05  0.2406E+05  0.6776E-03  0.9703E-02  0.8043E-10  0.2366E+01  0.7462E-08  0.9248E-02 -0.1078E-02 -0.9826E-03 -0.7633E-02  0.4253E-03  0.1216E-01  0.1291E-02
     3  0.1200E+01  0.1409E-14  0.3575E-03  0.2075E-02  0.2800E-09  0.2569E+00  0.2028E+00  0.2995E-01 -0.4118E-01  0.4218E+00 -0.1923E-01  0.2390E+05  0.2390E+05  0.2390E+05  0.6256E-03  0.9582E-02  0.8105E-10  0.2337E+01  0.8444E-08  0.9106E-02 -0.1245E-02 -0.1065E-02 -0.5252E-02 -0.1100E-03  0.4193E-02  0.1577E-02
     4  0.1800E+01  0.7589E-15  0.3511E-03  0.2048E-02  0.2665E-09  0.2558E+00  0.2027E+00  0.3028E-01  0.4417E-01  0.4283E+00 -0.1035E-01  0.2377E+05  0.2377E+05  0.2377E+05  0.5944E-03  0.9508E-02  0.8095E-10  0.2552E+01  0.7483E-08  0.8976E-02 -0.1045E-02 -0.9962E-03 -0.7488E-02  0.5479E-05  0.1088E-01  0.1303E-02
     5  0.2400E+01  0.3253E-15  0.3458E-03  0.2053E-02  0.2564E-09  0.2546E+00  0.2029E+00  0.3015E-01  0.4943E-01  0.4292E+00 -0.1550E-01  0.2367E+05  0.2367E+05  0.2367E+05  0.6090E-03  0.9459E-02  0.8121E-10  0.2468E+01  0.8475E-08  0.8980E-02 -0.9863E-03 -0.9901E-03 -0.9067E-02 -0.3831E-03  0.9794E-02  0.1229E-02
     6  0.3000E+01 -0.1193E-14  0.3438E-03  0.2043E-02  0.2521E-09  0.2569E+00  0.2032E+00  0.2992E-01  0.3874E-01  0.4317E+00 -0.1173E-01  0.2358E+05  0.2358E+05  0.2358E+05  0.6202E-03  0.9431E-02  0.8104E-10  0.2501E+01  0.7708E-08  0.8942E-02 -0.1175E-02 -0.1046E-02 -0.9164E-02 -0.3179E-03  0.9811E-02  0.1549E-02
     7  0.3600E+01 -0.2168E-15  0.3397E-03  0.2018E-02  0.2452E-09  0.2555E+00  0.2036E+00  0.3010E-01  0.4950E-01  0.4331E+00 -0.1680E-02  0.2348E+05  0.2348E+05  0.2348E+05  0.5869E-03  0.9387E-02  0.8046E-10  0.2550E+01  0.6797E-08  0.8886E-02 -0.1130E-02 -0.1004E-02 -0.6247E-02  0.4985E-03  0.8340E-02  0.1441E-02
     8  0.4200E+01 -0.1409E-14  0.3381E-03  0.2009E-02  0.2405E-09  0.2526E+00  0.2040E+00  0.2954E-01  0.5572E-01  0.4343E+00  0.7109E-02  0.2339E+05  0.2339E+05  0.2339E+05  0.5893E-03  0.9360E-02  0.8018E-10  0.2536E+01  0.6088E-08  0.8868E-02 -0.1096E-02 -0.1013E-02 -0.7900E-02 -0.3620E-03  0.8812E-02  0.1423E-02
     9  0.4800E+01 -0.8674E-15  0.3362E-03  0.1998E-02  0.2355E-09  0.2532E+00  0.2045E+00  0.2968E-01  0.3586E-01  0.4323E+00  0.9064E-02  0.2330E+05  0.2330E+05  0.2330E+05  0.5872E-03  0.9373E-02  0.7963E-10  0.2567E+01  0.6108E-08  0.8880E-02 -0.1172E-02 -0.1027E-02 -0.8721E-02 -0.2225E-03  0.8715E-02  0.1546E-02
    10  0.5400E+01 -0.1626E-14  0.3316E-03  0.1990E-02  0.2284E-09  0.2530E+00  0.2050E+00  0.3006E-01  0.5074E-01  0.4287E+00  0.1172E-01  0.2320E+05  0.2320E+05  0.2320E+05  0.5746E-03  0.9374E-02  0.7894E-10  0.2517E+01  0.5632E-08  0.8914E-02 -0.1170E-02 -0.1011E-02 -0.7351E-02  0.1220E-03  0.8005E-02  0.1522E-02
