 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.0000E+00  0.3712E-03  0.2114E-02  0.2952E-09  0.1601E+00  0.2052E+00  0.5181E-01  0.2359E-01  0.4303E+00 -0.3127E-02  0.2334E+05  0.2334E+05  0.2334E+05  0.4113E-03  0.9419E-02  0.8130E-10  0.1859E+01 -0.3890E-08  0.9176E-02 -0.1034E-02 -0.1801E-02 -0.1239E-01 -0.6026E-03  0.6341E-02  0.2673E-02
     2  0.6500E+00  0.0000E+00  0.3632E-03  0.2126E-02  0.2809E-09  0.1610E+00  0.2048E+00  0.3282E-01  0.2119E+00  0.4255E+00  0.8217E-02  0.2314E+05  0.2314E+05  0.2314E+05  0.4315E-03  0.9365E-02  0.8114E-10  0.1403E+01 -0.3122E-08  0.9241E-02 -0.1097E-02 -0.1782E-02 -0.7491E-02 -0.2282E-03  0.8854E-02  0.2758E-02
     3  0.1300E+01  0.0000E+00  0.3679E-03  0.2107E-02  0.2867E-09  0.1550E+00  0.2050E+00  0.3627E-01 -0.1055E+00  0.4243E+00  0.2406E-01  0.2296E+05  0.2296E+05  0.2296E+05  0.3916E-03  0.9314E-02  0.8056E-10  0.1207E+01 -0.1316E-10  0.9219E-02 -0.1253E-02 -0.1836E-02 -0.5958E-02  0.4635E-03 -0.2437E-02  0.3027E-02
     4  0.1950E+01  0.0000E+00  0.3665E-03  0.2093E-02  0.2813E-09  0.1553E+00  0.2049E+00  0.3955E-01  0.2986E-01  0.4158E+00  0.3356E-01  0.2287E+05  0.2287E+05  0.2287E+05  0.3561E-03  0.9373E-02  0.7952E-10  0.1196E+01  0.1494E-08  0.9283E-02 -0.1100E-02 -0.1824E-02 -0.8358E-02 -0.7232E-04  0.5599E-02  0.2817E-02
     5  0.2600E+01  0.0000E+00  0.3605E-03  0.2096E-02  0.2713E-09  0.1576E+00  0.2046E+00  0.3738E-01  0.4233E-01  0.4076E+00  0.1901E-01  0.2280E+05  0.2280E+05  0.2280E+05  0.4099E-03  0.9448E-02  0.7904E-10  0.1145E+01  0.5152E-08  0.9370E-02 -0.1013E-02 -0.1781E-02 -0.1005E-01  0.4335E-03  0.4700E-02  0.2556E-02
     6  0.3250E+01  0.0000E+00  0.3587E-03  0.2099E-02  0.2708E-09  0.1589E+00  0.2043E+00  0.3687E-01  0.1368E-01  0.4044E+00 -0.6625E-03  0.2274E+05  0.2274E+05  0.2274E+05  0.4091E-03  0.9492E-02  0.7913E-10  0.1245E+01  0.7881E-08  0.9400E-02 -0.1175E-02 -0.1822E-02 -0.9185E-02 -0.1029E-02  0.4028E-02  0.2818E-02
     7  0.3900E+01  0.0000E+00  0.3542E-03  0.2096E-02  0.2669E-09  0.1624E+00  0.2039E+00  0.3744E-01  0.7652E-02  0.4063E+00 -0.1807E-01  0.2267E+05  0.2267E+05  0.2267E+05  0.3792E-03  0.9486E-02  0.7951E-10  0.1489E+01  0.9147E-08  0.9360E-02 -0.1115E-02 -0.1805E-02 -0.7110E-02  0.1193E-03  0.4260E-02  0.2696E-02
     8  0.4550E+01  0.0000E+00  0.3516E-03  0.2097E-02  0.2639E-09  0.1633E+00  0.2034E+00  0.3781E-01  0.1618E-01  0.4138E+00 -0.3220E-01  0.2261E+05  0.2261E+05  0.2261E+05  0.3922E-03  0.9445E-02  0.8049E-10  0.1771E+01  0.1015E-07  0.9267E-02 -0.1016E-02 -0.1804E-02 -0.8742E-02  0.5596E-03  0.5664E-02  0.2595E-02
     9  0.5200E+01  0.0000E+00  0.3481E-03  0.2103E-02  0.2604E-09  0.1665E+00  0.2030E+00  0.3751E-01  0.2064E-01  0.4224E+00 -0.3209E-01  0.2255E+05  0.2255E+05  0.2255E+05  0.4131E-03  0.9394E-02  0.8160E-10  0.2002E+01  0.1061E-07  0.9170E-02 -0.1083E-02 -0.1826E-02 -0.9211E-02 -0.5987E-03  0.6959E-02  0.2758E-02
    10  0.5850E+01  0.0000E+00  0.3456E-03  0.2105E-02  0.2589E-09  0.1678E+00  0.2026E+00  0.3746E-01  0.1403E-01  0.4294E+00 -0.1826E-01  0.2251E+05  0.2251E+05  0.2251E+05  0.3914E-03  0.9364E-02  0.8229E-10  0.2252E+01  0.1001E-07  0.9084E-02 -0.1065E-02 -0.1793E-02 -0.8058E-02  0.4989E-03  0.7188E-02  0.2673E-02
