 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:            2
    pzmin/pzmax:    0.0000000000000000      /   100.00000000000000     
    transverse cuts:    0.0000000000000000        0.0000000000000000     
    longitudinal cut:    0.0000000000000000     
    RF frequency (MHz):    704.00000000000000     
    sigma cut:    4.0000000000000000     
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
     1  0.0000E+00  0.1667E-02  0.6746E-03  0.2995E-02  0.1384E-08  0.8772E-02  0.2052E+00  0.1032E+00  0.4013E-01  0.5140E+00 -0.1875E-01  0.3031E+05  0.3031E+05  0.3031E+05  0.3916E-04  0.1026E-01  0.1058E-09  0.9827E+00  0.2114E-08  0.9995E-02 -0.1505E-02 -0.2386E-02 -0.2109E-01 -0.3436E-03  0.1424E-01  0.4357E-02
     2  0.7000E+00  0.1809E-02  0.6731E-03  0.3034E-02  0.1383E-08  0.1453E-01  0.2051E+00  0.6448E-01  0.4127E+00  0.5002E+00  0.4524E-01  0.3012E+05  0.3012E+05  0.3012E+05  0.1000E-03  0.1037E-01  0.1053E-09  0.8107E+00  0.3609E-08  0.1020E-01 -0.1847E-02 -0.2540E-02 -0.9815E-02 -0.9039E-03  0.2293E-01  0.5322E-02
     3  0.1400E+01  0.1738E-02  0.6915E-03  0.3012E-02  0.1472E-08  0.1259E-01  0.2052E+00  0.5118E-01  0.1070E-01  0.4805E+00  0.9977E-01  0.2994E+05  0.2994E+05  0.2994E+05  0.2681E-04  0.1061E-01  0.1034E-09  0.8467E+00  0.5995E-08  0.1042E-01 -0.1936E-02 -0.2510E-02 -0.7160E-02  0.1643E-02  0.4178E-03  0.4807E-02
     4  0.2100E+01  0.1676E-02  0.7124E-03  0.2983E-02  0.1559E-08  0.1597E-01  0.2054E+00  0.6345E-01 -0.3585E-01  0.4515E+00  0.1218E+00  0.2983E+05  0.2983E+05  0.2983E+05  0.4306E-04  0.1105E-01  0.1003E-09  0.1089E+01  0.7319E-08  0.1073E-01 -0.1642E-02 -0.2487E-02 -0.1392E-01 -0.1043E-02  0.2840E-02  0.3965E-02
     5  0.2800E+01  0.1808E-02  0.6969E-03  0.2990E-02  0.1510E-08  0.2084E-01  0.2053E+00  0.6469E-01  0.5931E-01  0.4189E+00  0.9826E-01  0.2974E+05  0.2974E+05  0.2974E+05  0.1219E-03  0.1157E-01  0.9712E-10  0.1364E+01  0.8063E-08  0.1112E-01 -0.1752E-02 -0.2455E-02 -0.1442E-01 -0.2705E-03  0.1126E-01  0.3842E-02
     6  0.3500E+01  0.1731E-02  0.6821E-03  0.3009E-02  0.1480E-08  0.2502E-01  0.2048E+00  0.6117E-01  0.5950E-01  0.3957E+00  0.3645E-01  0.2966E+05  0.2966E+05  0.2966E+05  0.9282E-04  0.1195E-01  0.9511E-10  0.1561E+01  0.8696E-08  0.1141E-01 -0.1848E-02 -0.2510E-02 -0.1153E-01 -0.3794E-03  0.1188E-01  0.3837E-02
     7  0.4200E+01  0.1689E-02  0.6769E-03  0.3009E-02  0.1486E-08  0.2891E-01  0.2043E+00  0.6139E-01  0.5697E-01  0.3979E+00 -0.3580E-01  0.2959E+05  0.2959E+05  0.2959E+05  0.1237E-03  0.1209E-01  0.9536E-10  0.1832E+01  0.8403E-08  0.1136E-01 -0.1667E-02 -0.2508E-02 -0.1079E-01 -0.2129E-03  0.1064E-01  0.3477E-02
     8  0.4900E+01  0.1807E-02  0.6714E-03  0.3008E-02  0.1474E-08  0.3126E-01  0.2037E+00  0.6050E-01  0.5376E-01  0.4190E+00 -0.8311E-01  0.2949E+05  0.2949E+05  0.2949E+05  0.1435E-03  0.1197E-01  0.9741E-10  0.2027E+01  0.7080E-08  0.1107E-01 -0.1719E-02 -0.2453E-02 -0.1289E-01 -0.5319E-04  0.1299E-01  0.3526E-02
     9  0.5600E+01  0.1723E-02  0.6647E-03  0.2990E-02  0.1452E-08  0.3586E-01  0.2030E+00  0.6093E-01  0.3803E-01  0.4470E+00 -0.8372E-01  0.2942E+05  0.2942E+05  0.2942E+05  0.1430E-03  0.1173E-01  0.9983E-10  0.2181E+01  0.5163E-08  0.1066E-01 -0.1666E-02 -0.2492E-02 -0.1232E-01 -0.1285E-02  0.1415E-01  0.3674E-02
    10  0.6300E+01  0.1703E-02  0.6566E-03  0.2958E-02  0.1412E-08  0.3976E-01  0.2025E+00  0.6129E-01  0.3874E-01  0.4703E+00 -0.4260E-01  0.2933E+05  0.2933E+05  0.2933E+05  0.1798E-03  0.1145E-01  0.1016E-09  0.2273E+01  0.2948E-08  0.1029E-01 -0.1621E-02 -0.2479E-02 -0.1083E-01  0.1058E-02  0.1471E-01  0.3752E-02
